画像,色,最大値,最大値位置,最小値,最小値位置,最終値,変動幅,最終収支
S__78209128_graph_only.png,pink,12240.0,332,-8280.0,111,7680.0,20520.0,7680.0
S__78209138_graph_only.png,pink,21120.0,411,-2520.0,38,20640.0,23640.0,20640.0
