x,y_pixel,y_value
122,686,-164150.94339622642
123,688,-164716.98113207548
124,689,-165000.0
125,689,-165000.0
126,690,-165283.01886792455
127,690,-165283.01886792455
128,690,-165283.01886792455
129,690,-165283.01886792455
130,690,-165283.01886792455
131,689,-165000.0
132,688,-164716.98113207548
133,686,-164150.94339622642
134,684,-163584.90566037738
135,684,-163584.90566037738
136,684,-163584.90566037738
137,684,-163584.90566037738
138,684,-163584.90566037738
139,685,-163867.9245283019
140,686,-164150.94339622642
141,687,-164433.96226415096
142,689,-165000.0
143,689,-165000.0
144,690,-165283.01886792455
145,690,-165283.01886792455
146,690,-165283.01886792455
147,691,-165566.03773584907
148,692,-165849.05660377358
149,693,-166132.07547169813
150,694,-166415.09433962265
151,695,-166698.11320754717
152,696,-166981.13207547172
153,697,-167264.15094339623
154,698,-167547.16981132075
155,700,-168113.20754716982
156,701,-168396.22641509434
157,701,-168396.22641509434
158,702,-168679.24528301888
159,702,-168679.24528301888
160,703,-168962.2641509434
161,704,-169245.28301886792
162,704,-169245.28301886792
163,705,-169528.30188679247
164,705,-169528.30188679247
165,706,-169811.320754717
166,707,-170094.3396226415
167,709,-170660.37735849057
168,710,-170943.3962264151
169,711,-171226.41509433964
170,711,-171226.41509433964
171,712,-171509.43396226416
172,713,-171792.45283018867
173,713,-171792.45283018867
174,713,-171792.45283018867
175,714,-172075.47169811322
176,716,-172641.50943396226
177,716,-172641.50943396226
178,717,-172924.5283018868
179,718,-173207.54716981133
180,719,-173490.56603773584
181,720,-173773.5849056604
182,721,-174056.6037735849
183,722,-174339.62264150943
184,723,-174622.64150943398
185,724,-174905.6603773585
186,725,-175188.679245283
187,726,-175471.69811320756
188,728,-176037.7358490566
189,728,-176037.7358490566
190,728,-176037.7358490566
191,729,-176320.75471698114
192,730,-176603.77358490566
193,731,-176886.79245283018
194,732,-177169.81132075473
195,733,-177452.83018867925
196,733,-177452.83018867925
197,734,-177735.8490566038
198,734,-177735.8490566038
199,735,-178018.8679245283
200,735,-178018.8679245283
201,736,-178301.88679245283
202,736,-178301.88679245283
203,737,-178584.90566037738
204,739,-179150.94339622642
205,741,-179716.98113207548
206,741,-179716.98113207548
207,742,-180000.0
208,743,-180283.01886792455
209,744,-180566.03773584907
210,744,-180566.03773584907
211,745,-180849.05660377358
212,746,-181132.07547169813
213,747,-181415.09433962265
214,748,-181698.11320754717
215,749,-181981.13207547172
216,749,-181981.13207547172
217,750,-182264.15094339623
218,751,-182547.16981132075
219,753,-183113.20754716982
220,754,-183396.22641509434
221,755,-183679.24528301888
222,755,-183679.24528301888
223,756,-183962.2641509434
224,757,-184245.28301886792
225,759,-184811.320754717
226,759,-184811.320754717
227,759,-184811.320754717
228,760,-185094.3396226415
229,760,-185094.3396226415
230,761,-185377.35849056605
231,762,-185660.37735849057
232,763,-185943.3962264151
233,764,-186226.41509433964
234,765,-186509.43396226416
235,765,-186509.43396226416
236,765,-186509.43396226416
237,765,-186509.43396226416
238,765,-186509.43396226416
239,764,-186226.41509433964
240,762,-185660.37735849057
241,760,-185094.3396226415
242,760,-185094.3396226415
243,751,-182547.16981132075
244,748,-181698.11320754717
245,740,-179433.96226415096
246,737,-178584.90566037738
247,734,-177735.8490566038
248,728,-176037.7358490566
249,724,-174905.6603773585
250,712,-171509.43396226416
251,709,-170660.37735849057
252,706,-169811.320754717
253,700,-168113.20754716982
254,699,-167830.1886792453
255,698,-167547.16981132075
256,697,-167264.15094339623
257,696,-166981.13207547172
258,695,-166698.11320754717
259,694,-166415.09433962265
260,692,-165849.05660377358
261,686,-164150.94339622642
262,680,-162452.83018867925
263,680,-162452.83018867925
264,680,-162452.83018867925
265,680,-162452.83018867925
266,680,-162452.83018867925
267,680,-162452.83018867925
268,681,-162735.84905660377
269,683,-163301.88679245283
270,684,-163584.90566037738
271,686,-164150.94339622642
272,687,-164433.96226415096
273,687,-164433.96226415096
274,688,-164716.98113207548
275,688,-164716.98113207548
276,689,-165000.0
277,689,-165000.0
278,690,-165283.01886792455
279,691,-165566.03773584907
280,692,-165849.05660377358
281,693,-166132.07547169813
282,693,-166132.07547169813
283,694,-166415.09433962265
284,695,-166698.11320754717
285,695,-166698.11320754717
286,696,-166981.13207547172
287,696,-166981.13207547172
288,697,-167264.15094339623
289,699,-167830.1886792453
290,700,-168113.20754716982
291,701,-168396.22641509434
292,702,-168679.24528301888
293,702,-168679.24528301888
294,703,-168962.2641509434
295,704,-169245.28301886792
296,705,-169528.30188679247
297,707,-170094.3396226415
298,708,-170377.35849056605
299,709,-170660.37735849057
300,710,-170943.3962264151
301,711,-171226.41509433964
302,711,-171226.41509433964
303,712,-171509.43396226416
304,713,-171792.45283018867
305,714,-172075.47169811322
306,714,-172075.47169811322
307,715,-172358.49056603774
308,716,-172641.50943396226
309,716,-172641.50943396226
310,716,-172641.50943396226
311,716,-172641.50943396226
312,716,-172641.50943396226
313,716,-172641.50943396226
314,716,-172641.50943396226
315,715,-172358.49056603774
316,714,-172075.47169811322
317,713,-171792.45283018867
318,710,-170943.3962264151
319,707,-170094.3396226415
320,693,-166132.07547169813
321,689,-165000.0
322,684,-163584.90566037738
323,670,-159622.64150943398
324,668,-159056.6037735849
325,663,-157641.50943396226
326,656,-155660.37735849057
327,653,-154811.320754717
328,644,-152264.15094339623
329,640,-151132.07547169813
330,634,-149433.96226415096
331,631,-148584.90566037735
332,631,-148584.90566037735
333,631,-148584.90566037735
334,631,-148584.90566037735
335,631,-148584.90566037735
336,632,-148867.9245283019
337,633,-149150.94339622642
338,635,-149716.98113207548
339,636,-150000.0
340,638,-150566.03773584907
341,639,-150849.05660377358
342,640,-151132.07547169813
343,640,-151132.07547169813
344,640,-151132.07547169813
345,641,-151415.09433962265
346,642,-151698.11320754717
347,643,-151981.13207547172
348,644,-152264.15094339623
349,644,-152264.15094339623
350,644,-152264.15094339623
351,645,-152547.16981132075
352,646,-152830.1886792453
353,646,-152830.1886792453
354,647,-153113.20754716982
355,649,-153679.24528301888
356,650,-153962.2641509434
357,652,-154528.30188679247
358,653,-154811.320754717
359,654,-155094.3396226415
360,655,-155377.35849056605
361,655,-155377.35849056605
362,656,-155660.37735849057
363,656,-155660.37735849057
364,657,-155943.3962264151
365,658,-156226.41509433964
366,659,-156509.43396226416
367,660,-156792.45283018867
368,661,-157075.47169811322
369,662,-157358.49056603774
370,662,-157358.49056603774
371,663,-157641.50943396226
372,663,-157641.50943396226
373,664,-157924.5283018868
374,665,-158207.54716981133
375,665,-158207.54716981133
376,666,-158490.56603773584
377,667,-158773.5849056604
378,668,-159056.6037735849
379,669,-159339.62264150943
380,670,-159622.64150943398
381,671,-159905.6603773585
382,671,-159905.6603773585
383,672,-160188.679245283
384,672,-160188.679245283
385,675,-161037.7358490566
386,676,-161320.75471698114
387,680,-162452.83018867925
388,680,-162452.83018867925
389,680,-162452.83018867925
390,681,-162735.84905660377
391,681,-162735.84905660377
392,681,-162735.84905660377
393,681,-162735.84905660377
394,681,-162735.84905660377
395,681,-162735.84905660377
396,684,-163584.90566037738
397,685,-163867.9245283019
398,686,-164150.94339622642
399,687,-164433.96226415096
400,687,-164433.96226415096
401,688,-164716.98113207548
402,688,-164716.98113207548
403,688,-164716.98113207548
404,686,-164150.94339622642
405,685,-163867.9245283019
406,684,-163584.90566037738
407,678,-161886.79245283018
408,668,-159056.6037735849
409,664,-157924.5283018868
410,656,-155660.37735849057
411,648,-153396.22641509434
412,647,-153113.20754716982
413,644,-152264.15094339623
414,644,-152264.15094339623
415,644,-152264.15094339623
416,644,-152264.15094339623
417,644,-152264.15094339623
418,644,-152264.15094339623
419,643,-151981.13207547172
420,642,-151698.11320754717
421,641,-151415.09433962265
422,637,-150283.01886792455
423,632,-148867.9245283019
424,627,-147452.83018867925
425,625,-146886.79245283018
426,621,-145754.71698113208
427,619,-145188.679245283
428,616,-144339.62264150943
429,612,-143207.54716981133
430,609,-142358.49056603774
431,604,-140943.3962264151
432,604,-140943.3962264151
433,604,-140943.3962264151
434,604,-140943.3962264151
435,604,-140943.3962264151
436,605,-141226.41509433964
437,605,-141226.41509433964
438,605,-141226.41509433964
439,605,-141226.41509433964
440,604,-140943.3962264151
441,604,-140943.3962264151
442,602,-140377.35849056605
443,599,-139528.30188679247
444,597,-138962.2641509434
445,597,-138962.2641509434
446,597,-138962.2641509434
447,597,-138962.2641509434
448,597,-138962.2641509434
449,597,-138962.2641509434
450,596,-138679.24528301888
451,595,-138396.22641509434
452,595,-138396.22641509434
453,594,-138113.20754716982
454,594,-138113.20754716982
455,594,-138113.20754716982
456,594,-138113.20754716982
457,594,-138113.20754716982
458,594,-138113.20754716982
459,595,-138396.22641509434
460,596,-138679.24528301888
461,597,-138962.2641509434
462,597,-138962.2641509434
463,599,-139528.30188679247
464,600,-139811.320754717
465,601,-140094.3396226415
466,601,-140094.3396226415
467,602,-140377.35849056605
468,604,-140943.3962264151
469,605,-141226.41509433964
470,606,-141509.43396226416
471,607,-141792.45283018867
472,607,-141792.45283018867
473,608,-142075.47169811322
474,608,-142075.47169811322
475,609,-142358.49056603774
476,610,-142641.50943396226
477,610,-142641.50943396226
478,611,-142924.5283018868
479,612,-143207.54716981133
480,613,-143490.56603773584
481,614,-143773.5849056604
482,615,-144056.6037735849
483,616,-144339.62264150943
484,616,-144339.62264150943
485,616,-144339.62264150943
486,617,-144622.64150943398
487,618,-144905.6603773585
488,619,-145188.679245283
489,621,-145754.71698113208
490,623,-146320.75471698114
491,624,-146603.77358490566
492,625,-146886.79245283018
493,626,-147169.81132075473
494,626,-147169.81132075473
495,627,-147452.83018867925
496,628,-147735.84905660377
497,628,-147735.84905660377
498,629,-148018.8679245283
499,630,-148301.88679245283
500,630,-148301.88679245283
501,630,-148301.88679245283
