rotation,value,x,y
0.00,1249.34,36.00,264.28
85.62,1876.15,37.00,259.15
171.23,2450.69,38.00,254.45
256.85,2972.95,39.00,250.17
342.47,3442.95,40.00,246.33
428.08,3860.68,41.00,242.91
513.70,4078.45,42.00,241.12
599.32,4461.85,43.00,237.99
684.93,5038.53,44.00,233.27
770.55,4990.39,45.00,233.66
856.16,4880.44,46.00,234.56
941.78,4998.79,47.00,233.59
1027.40,4899.80,48.00,234.40
1113.01,7605.71,49.00,212.26
1198.63,3983.88,50.00,241.90
1284.25,1169.87,51.00,264.93
1369.86,-816.52,52.00,281.18
1455.48,-2109.87,53.00,291.77
1541.10,318.20,54.00,271.90
1626.71,-2900.29,55.00,298.23
1712.33,-6603.88,56.00,328.54
1797.95,-6159.51,57.00,324.91
1883.56,136.90,58.00,273.38
1969.18,6850.90,59.00,218.44
2054.79,6691.67,60.00,219.74
2140.41,8899.24,61.00,201.67
2226.03,10805.58,62.00,186.07
2311.64,14988.14,63.00,151.85
2397.26,10387.14,64.00,189.50
2482.88,1765.77,65.00,260.05
2568.49,2673.01,66.00,252.63
2654.11,3851.85,67.00,242.98
2739.73,4666.16,68.00,236.32
2825.34,970.26,69.00,266.56
2910.96,-4354.46,70.00,310.13
2996.58,-15455.61,71.00,400.98
3082.19,-20413.74,72.00,441.55
3167.81,-14894.46,73.00,396.39
3253.42,-22590.26,74.00,459.36
3339.04,-17072.98,75.00,414.21
3424.66,-3323.17,76.00,301.69
3510.27,6081.85,77.00,224.73
3595.89,14824.68,78.00,153.18
3681.51,21592.63,79.00,97.80
3767.12,24894.68,80.00,70.78
3852.74,23322.89,81.00,83.64
3938.36,30000.00,82.00,25.22
4023.97,30000.00,83.00,-20.76
4109.59,28347.88,84.00,42.52
4195.21,23976.33,85.00,78.29
4280.82,18621.77,86.00,122.11
4366.44,10630.08,87.00,187.51
4452.05,5873.51,88.00,226.44
4537.67,6695.48,89.00,219.71
4623.29,5358.98,90.00,230.65
4708.90,10260.92,91.00,190.53
4794.52,18672.75,92.00,121.69
4880.14,14565.75,93.00,155.30
4965.75,12225.23,94.00,174.46
5051.37,10938.79,95.00,184.98
5136.99,10065.51,96.00,192.13
5222.60,14014.85,97.00,159.81
5308.22,14203.64,98.00,158.27
5393.84,15387.11,99.00,148.58
5479.45,12334.33,100.00,173.56
5565.07,13328.80,101.00,165.43
5650.68,8285.65,102.00,206.70
5736.30,-1409.71,103.00,286.04
5821.92,403.91,104.00,271.19
5907.53,5752.07,105.00,227.43
5993.15,9633.69,106.00,195.66
6078.77,8544.07,107.00,204.58
6164.38,4933.27,108.00,234.13
6250.00,3252.32,109.00,247.89
6335.62,-1683.31,110.00,288.28
6421.23,-4233.33,111.00,309.14
6506.85,-25.49,112.00,274.71
6592.47,3636.58,113.00,244.74
6678.08,9374.56,114.00,197.78
6763.70,11834.72,115.00,177.65
6849.32,7128.20,116.00,216.17
6934.93,-2373.32,117.00,293.92
7020.55,-4581.17,118.00,311.99
7106.16,-9829.78,119.00,354.94
7191.78,-15430.45,120.00,400.77
7277.40,-15003.09,121.00,397.28
7363.01,-9735.49,122.00,354.17
7448.63,-11352.14,123.00,367.40
7534.25,-11089.37,124.00,365.25
7619.86,-10747.07,125.00,362.45
7705.48,-10467.59,126.00,360.16
7791.10,-9944.31,127.00,355.88
7876.71,-8016.13,128.00,340.10
7962.33,-10629.47,129.00,361.48
8047.95,-11947.22,130.00,372.27
8133.56,-11829.67,131.00,371.31
8219.18,-12191.51,132.00,374.27
8304.79,-10751.43,133.00,362.48
8390.41,-9581.65,134.00,352.91
8476.03,-9499.10,135.00,352.23
8561.64,-7945.87,136.00,339.52
8647.26,-6151.57,137.00,324.84
8732.88,-3529.83,138.00,303.39
8818.49,-4883.76,139.00,314.47
8904.11,-3300.24,140.00,301.51
8989.73,-788.17,141.00,280.95
9075.34,642.14,142.00,269.25
9160.96,3176.76,143.00,248.50
9246.58,3893.15,144.00,242.64
9332.19,3458.76,145.00,246.20
9417.81,4234.26,146.00,239.85
9503.42,4271.86,147.00,239.54
9589.04,4738.15,148.00,235.73
9674.66,6258.10,149.00,223.29
9760.27,4747.13,150.00,235.65
9845.89,3786.38,151.00,243.51
9931.51,3020.24,152.00,249.78
10017.12,2665.18,153.00,252.69
10102.74,4099.15,154.00,240.96
10188.36,4131.86,155.00,240.69
10273.97,1868.60,156.00,259.21
10359.59,1964.21,157.00,258.43
10445.21,1475.08,158.00,262.43
10530.82,864.80,159.00,267.42
10616.44,-3034.62,160.00,299.33
10702.05,-5572.05,161.00,320.10
10787.67,-7714.38,162.00,337.63
10873.29,-8790.82,163.00,346.44
10958.90,-8411.97,164.00,343.34
11044.52,-9999.62,165.00,356.33
11130.14,-13269.91,166.00,383.09
11215.75,-11577.34,167.00,369.24
11301.37,-9788.98,168.00,354.61
11386.99,-6985.46,169.00,331.66
11472.60,-3523.56,170.00,303.33
11558.22,88.54,171.00,273.78
11643.84,3334.85,172.00,247.21
11729.45,6141.17,173.00,224.24
11815.07,7903.52,174.00,209.82
11900.68,8081.98,175.00,208.36
11986.30,6618.57,176.00,220.34
12071.92,6537.82,177.00,221.00
12157.53,6492.67,178.00,221.37
12243.15,6421.46,179.00,221.95
12328.77,6369.19,180.00,222.38
12414.38,6320.62,181.00,222.78
12500.00,6259.24,182.00,223.28
12585.62,6186.60,183.00,223.87
12671.23,6097.87,184.00,224.60
12756.85,5975.67,185.00,225.60
12842.47,5854.47,186.00,226.59
12928.08,5773.72,187.00,227.25
13013.70,5581.87,188.00,228.82
13099.32,5436.32,189.00,230.01
13184.93,5289.33,190.00,231.22
13270.55,5124.55,191.00,232.56
13356.16,5001.07,192.00,233.57
13441.78,4908.07,193.00,234.34
13527.40,4846.25,194.00,234.84
13613.01,4794.13,195.00,235.27
13698.63,4771.34,196.00,235.45
13784.25,4765.50,197.00,235.50
13869.86,4715.51,198.00,235.91
13955.48,4666.66,199.00,236.31
14041.10,4541.75,200.00,237.33
14126.71,4317.29,201.00,239.17
14212.33,5302.29,202.00,231.11
14297.95,3811.69,203.00,243.31
14383.56,2598.66,204.00,253.23
14469.18,2887.93,205.00,250.87
14554.79,1913.61,206.00,258.84
14640.41,284.71,207.00,272.17
14726.03,-1763.78,208.00,288.93
14811.64,-4201.22,209.00,308.88
14897.26,-6587.24,210.00,328.41
14982.88,-8441.00,211.00,343.58
15068.49,-9357.07,212.00,351.07
15154.11,-12082.65,213.00,373.38
15239.73,-12625.10,214.00,377.82
15325.34,-11591.58,215.00,369.36
15410.96,-11689.14,216.00,370.16
15496.58,-11509.40,217.00,368.69
15582.19,-11302.46,218.00,366.99
15667.81,-11204.37,219.00,366.19
15753.42,-11111.04,220.00,365.43
15839.04,-10861.32,221.00,363.38
15924.66,-10636.23,222.00,361.54
16010.27,-11630.91,223.00,369.68
16095.89,-11260.83,224.00,366.65
16181.51,-9780.29,225.00,354.54
16267.12,-7704.84,226.00,337.55
16352.74,-5189.87,227.00,316.97
16438.36,-2512.64,228.00,295.06
16523.97,-78.48,229.00,275.14
16609.59,1773.32,230.00,259.99
16695.21,2993.75,231.00,250.00
16780.82,3149.70,232.00,248.72
16866.44,2018.43,233.00,257.98
16952.05,2065.00,234.00,257.60
17037.67,2008.60,235.00,258.06
17123.29,1915.74,236.00,258.82
17208.90,2741.52,237.00,252.07
17294.52,2530.24,238.00,253.79
17380.14,1337.53,239.00,263.55
17465.75,-546.88,240.00,278.98
17551.37,-3609.84,241.00,304.04
17636.99,-4893.52,242.00,314.55
17722.60,-6225.80,243.00,325.45
17808.22,-8258.33,244.00,342.08
17893.84,-8887.32,245.00,347.23
17979.45,-7943.57,246.00,339.50
18065.07,-4660.42,247.00,312.64
18150.68,-3151.88,248.00,300.29
18236.30,-2654.04,249.00,296.22
18321.92,-4151.53,250.00,308.47
18407.53,-4624.37,251.00,312.34
18493.15,-4143.84,252.00,308.41
18578.77,-5449.24,253.00,319.09
18664.38,-7616.89,254.00,336.83
18750.00,-8620.73,255.00,345.05
18835.62,-8984.73,256.00,348.03
18921.23,-8363.09,257.00,342.94
19006.85,-8948.88,258.00,347.73
19092.47,-9983.59,259.00,356.20
19178.08,-11315.11,260.00,367.10
19263.70,-10525.08,261.00,360.63
19349.32,-11486.06,262.00,368.49
19434.93,-11279.39,263.00,366.80
19520.55,-10197.11,264.00,357.95
19606.16,-8657.42,265.00,345.35
19691.78,-6587.53,266.00,328.41
19777.40,-4381.24,267.00,310.35
19863.01,-2425.95,268.00,294.35
19948.63,-912.22,269.00,281.97
20034.25,112.23,270.00,273.58
20119.86,358.05,271.00,271.57
20205.48,-600.46,272.00,279.41
20291.10,-659.85,273.00,279.90
20376.71,-797.72,274.00,281.03
20462.33,-947.40,275.00,282.25
20547.95,-995.11,276.00,282.64
20633.56,-1049.81,277.00,283.09
20719.18,-1154.20,278.00,283.95
20804.79,-1242.50,279.00,284.67
20890.41,-1337.64,280.00,285.45
20976.03,-1355.87,281.00,285.60
21061.64,-1488.90,282.00,286.68
21147.26,-897.84,283.00,281.85
21232.88,-1220.86,284.00,284.49
21318.49,-2168.69,285.00,292.25
21404.11,-3578.40,286.00,303.78
21489.73,-5419.75,287.00,318.85
21575.34,-7609.56,288.00,336.77
21660.96,-9667.73,289.00,353.61
21746.58,-11235.76,290.00,366.45
21832.19,-12157.58,291.00,373.99
21917.81,-12233.63,292.00,374.61
22003.42,-11122.68,293.00,365.52
22089.04,-11422.81,294.00,367.98
22174.66,-10943.56,295.00,364.05
22260.27,-9807.30,296.00,354.76
22345.89,-8567.07,297.00,344.61
22431.51,-7275.86,298.00,334.04
22517.12,-5865.72,299.00,322.50
22602.74,-4593.74,300.00,312.09
22688.36,-3648.90,301.00,304.36
22773.97,-2642.96,302.00,296.13
22859.59,-2345.15,303.00,293.69
22945.21,-2508.94,304.00,295.03
23030.82,-2433.03,305.00,294.41
23116.44,-1655.68,306.00,288.05
23202.05,-1397.60,307.00,285.94
23287.67,-853.12,308.00,281.48
23373.29,100.27,309.00,273.68
23458.90,604.16,310.00,269.56
23544.52,1467.68,311.00,262.49
23630.14,2396.14,312.00,254.89
23715.75,2749.49,313.00,252.00
23801.37,3764.26,314.00,243.70
23886.99,3897.71,315.00,242.60
23972.60,4778.32,316.00,235.40
24058.22,5061.60,317.00,233.08
24143.84,5462.38,318.00,229.80
24229.45,6224.92,319.00,223.56
24315.07,6729.24,320.00,219.43
24400.68,7668.10,321.00,211.75
24486.30,8548.70,322.00,204.54
24571.92,9004.03,323.00,200.82
24657.53,9958.70,324.00,193.00
24743.15,10418.30,325.00,189.24
24828.77,11066.90,326.00,183.94
24914.38,11366.84,327.00,181.48
25000.00,11394.19,328.00,181.26
25085.62,11574.64,329.00,179.78
25171.23,11646.13,330.00,179.20
25256.85,11728.03,331.00,178.53
25342.47,11946.22,332.00,176.74
25428.08,11904.21,333.00,177.08
25513.70,12139.06,334.00,175.16
25599.32,12168.69,335.00,174.92
25684.93,12244.46,336.00,174.30
25770.55,12204.29,337.00,174.63
25856.16,12206.00,338.00,174.61
25941.78,12158.29,339.00,175.00
26027.40,11984.96,340.00,176.42
26113.01,11801.80,341.00,177.92
26198.63,11715.49,342.00,178.63
26284.25,11704.39,343.00,178.72
26369.86,11613.52,344.00,179.46
26455.48,11558.26,345.00,179.91
26541.10,11550.28,346.00,179.98
26626.71,11464.26,347.00,180.68
26712.33,11468.53,348.00,180.65
26797.95,11438.76,349.00,180.89
26883.56,11221.00,350.00,182.67
26969.18,11085.13,351.00,183.79
27054.79,11002.38,352.00,184.46
27140.41,10973.32,353.00,184.70
27226.03,10752.85,354.00,186.51
27311.64,10622.53,355.00,187.57
27397.26,10541.92,356.00,188.23
27482.88,10527.96,357.00,188.35
27568.49,10544.91,358.00,188.21
27654.11,10500.48,359.00,188.57
27739.73,10345.66,360.00,189.84
27825.34,10317.18,361.00,190.07
27910.96,10231.87,362.00,190.77
27996.58,10172.62,363.00,191.25
28082.19,10035.32,364.00,192.38
28167.81,10017.38,365.00,192.52
28253.42,9993.31,366.00,192.72
28339.04,9928.50,367.00,193.25
28424.66,9834.08,368.00,194.02
28510.27,9742.93,369.00,194.77
28595.89,11266.72,370.00,182.30
28681.51,9303.83,371.00,198.36
28767.12,7638.04,372.00,212.00
28852.74,8100.35,373.00,208.21
28938.36,6848.67,374.00,218.46
29023.97,4576.29,375.00,237.05
29109.59,1619.48,376.00,261.25
29195.21,-1773.23,377.00,289.01
29280.82,-5026.76,378.00,315.64
29366.44,-7538.43,379.00,336.19
29452.05,-8616.22,380.00,345.01
29537.67,-12248.25,381.00,374.73
29623.29,-12845.43,382.00,379.62
29708.90,-11274.25,383.00,366.76
29794.52,-12810.94,384.00,379.34
29880.14,-12209.99,385.00,374.42
29965.75,-10130.77,386.00,357.40
30051.37,-7091.15,387.00,332.53
30136.99,-3403.45,388.00,302.35
30222.60,578.69,389.00,269.76
30308.22,4473.69,390.00,237.89
30393.84,7417.06,391.00,213.80
30479.45,9223.93,392.00,199.02
30565.07,9594.66,393.00,195.98
30650.68,8034.27,394.00,208.75
30736.30,8166.29,395.00,207.67
30821.92,7993.53,396.00,209.09
30907.53,8232.66,397.00,207.13
30993.15,8331.79,398.00,206.32
31078.77,8513.24,399.00,204.83
31164.38,8565.65,400.00,204.40
31250.00,8946.63,401.00,201.29
31335.62,9302.41,402.00,198.38
31421.23,9781.81,403.00,194.45
31506.85,12085.65,404.00,175.60
31592.47,11988.24,405.00,176.40
31678.08,9874.83,406.00,193.69
31763.70,6922.98,407.00,217.85
31849.32,767.05,408.00,268.22
31934.93,-3373.72,409.00,302.11
32020.55,-5516.40,410.00,319.64
32106.16,-5371.61,411.00,318.46
32191.78,-3228.16,412.00,300.92
32277.40,979.73,413.00,266.48
32363.01,7184.28,414.00,215.71
32448.63,10600.60,415.00,187.75
32534.25,12937.35,416.00,168.63
32619.86,13528.26,417.00,163.79
32705.48,11484.20,418.00,180.52
32791.10,13180.47,419.00,166.64
32876.71,12708.05,420.00,170.51
32962.33,8649.82,421.00,203.72
33047.95,7553.44,422.00,212.69
33133.56,4896.10,423.00,234.43
33219.18,1612.52,424.00,261.30
33304.79,-1950.73,425.00,290.46
33390.41,-6909.78,426.00,331.05
33476.03,-8870.91,427.00,347.09
33561.64,-6338.38,428.00,326.37
33647.26,-2855.55,429.00,297.87
33732.88,-2535.19,430.00,295.25
33818.49,-3509.39,431.00,303.22
33904.11,-1461.48,432.00,286.46
33989.73,-2452.13,433.00,294.57
34075.34,-4293.76,434.00,309.64
34160.96,-7231.25,435.00,333.68
34246.58,-11163.29,436.00,365.85
34332.19,-11691.82,437.00,370.18
34417.81,-10158.77,438.00,357.63
34503.42,-10286.81,439.00,358.68
34589.04,-10490.19,440.00,360.34
34674.66,-10526.94,441.00,360.65
34760.27,-10675.85,442.00,361.86
34845.89,-10746.30,443.00,362.44
34931.51,-10751.19,444.00,362.48
35017.12,-12344.25,445.00,375.52
35102.74,-11916.41,446.00,372.02
35188.36,-9831.85,447.00,354.96
35273.97,-6501.31,448.00,327.70
35359.59,-2727.08,449.00,296.82
35445.21,1242.46,450.00,264.33
35530.82,5051.30,451.00,233.16
35616.44,9524.21,452.00,196.56
35702.05,11057.50,453.00,184.01
35787.67,9550.75,454.00,196.34
35873.29,4982.03,455.00,233.73
35958.90,1507.30,456.00,262.17
36044.52,-2339.01,457.00,293.64
36130.14,-5987.23,458.00,323.50
36215.75,-9083.97,459.00,348.84
