x_pixel,y_value,x_normalized,time_index
39,-360.36036036036035,0.0,0.0
40,-360.36036036036035,0.0012804097311139564,0.0012804097311139564
176,-5225.225225225225,0.17541613316261204,0.17541613316261204
177,-5135.135135135135,0.176696542893726,0.176696542893726
178,-5045.045045045044,0.17797695262483995,0.17797695262483995
180,-4594.594594594594,0.18053777208706787,0.18053777208706787
181,-3333.333333333333,0.18181818181818182,0.18181818181818182
181,-3423.423423423423,0.18181818181818182,0.18181818181818182
181,-3513.5135135135133,0.18181818181818182,0.18181818181818182
181,-3603.6036036036035,0.18181818181818182,0.18181818181818182
181,-5405.405405405405,0.18181818181818182,0.18181818181818182
181,-5495.495495495496,0.18181818181818182,0.18181818181818182
181,-5585.585585585585,0.18181818181818182,0.18181818181818182
181,-5675.675675675676,0.18181818181818182,0.18181818181818182
182,-4414.414414414414,0.18309859154929578,0.18309859154929578
184,-3963.9639639639636,0.1856594110115237,0.1856594110115237
185,-3873.873873873874,0.18693982074263765,0.18693982074263765
186,-3783.7837837837837,0.1882202304737516,0.1882202304737516
191,-900.9009009009009,0.1946222791293214,0.1946222791293214
192,-900.9009009009009,0.19590268886043533,0.19590268886043533
194,-1531.5315315315315,0.19846350832266324,0.19846350832266324
195,-1441.4414414414414,0.1997439180537772,0.1997439180537772
196,-1351.3513513513512,0.20102432778489115,0.20102432778489115
232,-360.36036036036035,0.2471190781049936,0.2471190781049936
233,-360.36036036036035,0.24839948783610755,0.24839948783610755
243,-1261.261261261261,0.2612035851472471,0.2612035851472471
244,-1261.261261261261,0.26248399487836105,0.26248399487836105
248,-990.9909909909909,0.2676056338028169,0.2676056338028169
249,-990.9909909909909,0.26888604353393086,0.26888604353393086
264,-2522.522522522522,0.2880921895006402,0.2880921895006402
265,-2522.522522522522,0.2893725992317542,0.2893725992317542
269,-2252.252252252252,0.29449423815621,0.29449423815621
270,-2252.252252252252,0.29577464788732394,0.29577464788732394
293,-4144.144144144144,0.32522407170294493,0.32522407170294493
294,-4144.144144144144,0.3265044814340589,0.3265044814340589
321,-4954.954954954955,0.36107554417413573,0.36107554417413573
322,-4954.954954954955,0.36235595390524966,0.36235595390524966
325,-4054.0540540540537,0.36619718309859156,0.36619718309859156
326,-4054.0540540540537,0.3674775928297055,0.3674775928297055
327,-2882.8828828828828,0.3687580025608195,0.3687580025608195
328,-2702.7027027027025,0.3700384122919334,0.3700384122919334
328,-2792.7927927927926,0.3700384122919334,0.3700384122919334
328,-2882.8828828828828,0.3700384122919334,0.3700384122919334
328,-2972.972972972973,0.3700384122919334,0.3700384122919334
328,-4594.594594594594,0.3700384122919334,0.3700384122919334
328,-4684.684684684685,0.3700384122919334,0.3700384122919334
329,-2702.7027027027025,0.3713188220230474,0.3713188220230474
329,-2792.7927927927926,0.3713188220230474,0.3713188220230474
329,-4414.414414414414,0.3713188220230474,0.3713188220230474
329,-4504.504504504504,0.3713188220230474,0.3713188220230474
329,-4594.594594594594,0.3713188220230474,0.3713188220230474
329,-4684.684684684685,0.3713188220230474,0.3713188220230474
330,-4414.414414414414,0.3725992317541613,0.3725992317541613
331,-3243.243243243243,0.3738796414852753,0.3738796414852753
332,-3243.243243243243,0.37516005121638923,0.37516005121638923
352,1261.261261261261,0.4007682458386684,0.4007682458386684
353,1351.3513513513512,0.4020486555697823,0.4020486555697823
354,1441.4414414414414,0.4033290653008963,0.4033290653008963
356,900.9009009009009,0.4058898847631242,0.4058898847631242
357,900.9009009009009,0.40717029449423814,0.40717029449423814
360,2342.3423423423424,0.41101152368758004,0.41101152368758004
361,2342.3423423423424,0.41229193341869397,0.41229193341869397
435,270.27027027027026,0.5070422535211268,0.5070422535211268
436,270.27027027027026,0.5083226632522407,0.5083226632522407
475,-1081.081081081081,0.558258642765685,0.558258642765685
476,-1081.081081081081,0.559539052496799,0.559539052496799
479,-1441.4414414414414,0.5633802816901409,0.5633802816901409
480,-1441.4414414414414,0.5646606914212549,0.5646606914212549
500,-1621.6216216216214,0.5902688860435339,0.5902688860435339
501,-1621.6216216216214,0.5915492957746479,0.5915492957746479
532,-2882.8828828828828,0.6312419974391805,0.6312419974391805
533,-2882.8828828828828,0.6325224071702945,0.6325224071702945
609,-5405.405405405405,0.7298335467349552,0.7298335467349552
610,-5405.405405405405,0.7311139564660691,0.7311139564660691
611,-5405.405405405405,0.7323943661971831,0.7323943661971831
612,-5405.405405405405,0.7336747759282971,0.7336747759282971
735,-11711.71171171171,0.8911651728553137,0.8911651728553137
736,-11711.71171171171,0.8924455825864277,0.8924455825864277
749,-12342.342342342341,0.9090909090909091,0.9090909090909091
750,-12342.342342342341,0.910371318822023,0.910371318822023
770,-12972.972972972972,0.9359795134443022,0.9359795134443022
771,-12972.972972972972,0.9372599231754162,0.9372599231754162
819,-15495.495495495496,0.998719590268886,0.998719590268886
820,-15495.495495495496,1.0,1.0
