x,y,value,smoothed_value
36,275.0,-120.48192771084337,-120.48192771084337
37,276.05555555555554,-247.6572958500654,-247.6572958500654
38,277.1666666666667,-381.52610441767297,-117.58026730578267
39,277.05,-367.4698795180737,25.755749572791935
40,269.625,529.233870967742,194.52684007921093
41,269.07142857142856,596.1981566820297,108.18145855310698
42,269.07142857142856,596.1981566820297,35.37595080784081
43,280.75,-813.2530120481928,-190.9527510965509
44,280.07142857142856,-731.4974182444042,-217.45044694908634
45,279.0,-602.4096385542168,-236.89169118871806
46,270.1666666666667,463.70967741935254,22.533104769307613
47,269.875,498.9919354838709,241.41323357947877
48,270.0,483.8709677419355,330.5698600855025
49,271.0,362.9032258064516,197.66728203135045
50,275.3,-156.62650602409775,73.7725093924076
51,275.6666666666667,-200.80321285140792,-47.098069698148166
52,275.0,-120.48192771084337,-263.6229127034457
53,275.0,-120.48192771084337,-371.71241356403044
54,279.9736842105263,-719.7209892200362,-548.419240873267
55,279.7857142857143,-697.0740103270214,-765.286710752785
56,283.0,-1084.3373493975903,-813.4794818371223
57,284.0,-1204.8192771084337,-934.5955249569706
58,277.0,-361.44578313253015,-1084.3373493975903
59,285.0,-1325.3012048192772,-1156.6265060240962
60,286.0,-1445.7831325301206,-1228.9156626506024
61,286.0,-1445.7831325301206,-1322.8915662650597
62,287.0,-1566.2650602409637,-1226.5060240963849
63,280.9,-831.3253012048165,-1119.5783132530114
64,281.0,-843.3734939759036,-1017.1686746987946
65,281.5625,-911.144578313253,-915.6196213425122
66,281.75,-933.7349397590361,-984.2943201376935
67,282.7857142857143,-1058.5197934595517,-1032.4870912220308
68,283.75,-1174.698795180723,-1209.294320137693
69,283.0,-1084.3373493975903,-1364.7160068846808
70,288.9,-1795.1807228915636,-1492.0826161790005
71,288.2,-1710.8433734939745,-1594.4922547332171
72,288.07142857142856,-1695.352839931151,-1714.9741824440607
73,288.0,-1686.7469879518071,-1669.1910499139406
74,288.0,-1686.7469879518071,-1796.901893287435
75,287.0,-1566.2650602409637,-1912.6506024096386
76,293.5,-2349.397590361446,-2013.0522088353416
77,292.875,-2274.0963855421687,-2104.2742398164087
78,292.1666666666667,-2188.7550200803234,-2218.7320711417096
79,291.7857142857143,-2142.8571428571418,-2180.866322432588
80,291.75,-2138.5542168674697,-2135.6855995410215
81,291.92857142857144,-2160.068846815837,-2107.5731497418246
82,291.0,-2048.1927710843374,-2088.6402753872635
83,291.0,-2048.1927710843374,-2070.5679862306374
84,291.0,-2048.1927710843374,-2000.0
85,291.0,-2048.1927710843374,-2103.270223752151
86,289.0,-1807.2289156626505,-2213.2099827882957
87,295.2857142857143,-2564.5438898450934,-2331.282271944922
88,295.5625,-2597.89156626506,-2186.70395869191
89,295.9,-2638.5542168674674,-2090.318416523235
90,285.0,-1325.3012048192772,-2016.3080895008607
91,285.0,-1325.3012048192772,-1944.5209409064823
92,292.2142857142857,-2194.49225473322,-1869.4779116465859
93,292.5833333333333,-2238.9558232931704,-2068.273092369477
94,292.7857142857143,-2263.339070567985,-2321.2851405622487
95,293.25,-2319.277108433735,-2412.507171543316
96,295.5,-2590.3614457831327,-2326.1617900172114
97,296.0,-2650.6024096385545,-2250.0000000000005
98,289.0,-1807.2289156626505,-2201.8072289156626
99,289.625,-1882.5301204819277,-2093.373493975904
100,291.25,-2078.3132530120483,-1993.975903614458
101,291.0,-2048.1927710843374,-2066.265060240964
102,291.875,-2153.6144578313256,-2147.5903614457834
103,292.0,-2168.6746987951806,-2406.626506024096
104,293.0,-2289.156626506024,-2651.6064257028115
105,302.0,-3373.4939759036142,-2850.4016064257034
106,301.1666666666667,-3273.092369477914,-3035.5056589996357
107,300.125,-3147.590361445783,-3194.1401971522455
108,299.6818181818182,-3094.1949616648417,-3126.48496082231
109,299.5833333333333,-3082.3293172690737,-3069.1126142933363
110,299.1923076923077,-3035.217794253937,-3017.9077950162277
111,298.7857142857143,-2986.2306368330455,-3146.0567544904884
112,298.0,-2891.566265060241,-3280.594907100931
113,305.0,-3734.9397590361446,-3360.2983362019513
114,305.1666666666667,-3755.020080321288,-3425.7028112449807
115,302.5,-3433.734939759036,-3512.7175368139224
116,301.5,-3313.253012048193,-3443.4404283801873
117,301.6111111111111,-3326.63989290495,-3383.199464524766
118,302.125,-3388.55421686747,-3539.825970548862
119,302.6666666666667,-3453.815261044179,-3720.548862115127
120,309.0,-4216.8674698795185,-3898.594377510041
121,309.0,-4216.8674698795185,-4065.060240963857
122,309.0,-4216.8674698795185,-4217.670682730924
123,309.03333333333336,-4220.883534136549,-4147.791164658635
124,309.0,-4216.8674698795185,-4068.2730923694785
125,306.1,-3867.4698795180752,-3995.9839357429723
126,305.7,-3819.2771084337332,-4115.6626506024095
127,306.0,-3855.4216867469877,-4260.240963855422
128,314.0,-4819.277108433735,-4483.734939759035
129,315.0,-4939.759036144578,-4731.927710843373
130,315.375,-4984.939759036145,-4972.89156626506
131,316.0,-5060.240963855421,-5021.084337349397
132,316.0,-5060.240963855421,-5093.373493975903
133,316.0,-5060.240963855421,-5180.722891566265
134,318.0,-5301.204819277109,-5253.012048192771
135,319.0,-5421.686746987952,-5325.301204819277
