x,y,value,smoothed_value
36,280.94444444444446,-836.680053547525,-836.680053547525
37,281.54347826086956,-908.8528025144052,-908.8528025144052
38,282.5,-1024.0963855421687,-1029.5636938204657
39,283.0625,-1091.867469879518,-1134.8738232269807
40,284.6764705882353,-1286.3217576187112,-1267.4515650242097
41,285.31481481481484,-1363.2307005801008,-1396.5393447143983
42,287.04545454545456,-1571.7415115005494,-1518.3350381263438
43,287.85714285714283,-1669.5352839931124,-1605.5394708304218
44,288.1170212765957,-1700.8459369392435,-1683.7513080784033
45,288.29545454545456,-1722.3439211391037,-1741.0434135632793
46,288.56060606060606,-1754.2898868200075,-1802.3170796562222
47,289.4230769230769,-1858.2020389249283,-1873.7944786137548
48,290.4,-1975.9036144578288,-1967.5356771742306
49,291.0833333333333,-2058.2329317269055,-2068.639392735778
50,292.1857142857143,-2191.0499139414837,-2164.5465947448065
51,292.7564102564103,-2259.8084646277443,-2268.5052866553065
52,293.4032258064516,-2337.738048970071,-2399.027375008721
53,294.7142857142857,-2495.6970740103284,-2518.648717521628
54,296.5,-2710.843373493976,-2652.8577946327478
55,297.15,-2789.1566265060214,-2787.7198233929507
56,298.32608695652175,-2930.853850183343,-2903.0382399161863
57,299.0,-3012.0481927710844,-2976.5956273607007
58,299.5,-3072.2891566265057,-3019.8352525280375
59,299.55263157894734,-3078.6303107165472,-3021.8353477706687
60,298.94444444444446,-3005.354752342706,-2988.1004080116327
61,298.40909090909093,-2940.854326396498,-2919.827315642155
62,297.6,-2843.373493975906,-2812.133382012901
63,296.6666666666667,-2730.9236947791187,-2668.8937568455653
64,295.0833333333333,-2540.160642570279,-2556.3094483195955
65,293.0,-2289.156626506024,-2460.6968090834043
66,293.7368421052632,-2377.9327837666483,-2398.360507354751
67,293.6320754716981,-2365.310297794952,-2364.3985726594483
68,294.07971014492756,-2419.2421861358507,-2403.866790357827
69,293.67391304347825,-2370.350969093765,-2436.312362118553
70,294.63793103448273,-2486.4977149979195,-2483.0437621120577
71,295.0833333333333,-2540.160642570279,-2566.72861594386
72,295.57142857142856,-2598.9672977624764,-2683.0198679082396
73,297.55263157894734,-2837.6664552948605,-2789.3763282322952
74,298.5,-2951.8072289156626,-2910.405901069098
75,299.05172413793105,-3018.2800166181983,-3031.57629693829
76,300.1060606060606,-3145.308506754292,-3120.9104757588357
77,300.6,-3204.819277108437,-3206.693608288956
78,301.26,-3284.337349397589,-3296.2720813323235
79,302.06,-3380.7228915662654,-3378.8846633217227
80,302.7692307692308,-3466.172381835033,-3458.869117266534
81,303.5344827586207,-3558.3714167012886,-3538.08885335374
82,303.9193548387097,-3604.7415468324934,-3631.823793112776
83,304.54761904761904,-3680.436029833619,-3723.060534951927
84,305.95,-3849.3975903614446,-3828.9421896495346
85,306.55555555555554,-3922.356091030788,-3941.246892331229
86,307.92857142857144,-4087.7796901893307,-4067.2748135398724
87,308.58,-4166.265060240962,-4178.252055842417
88,309.77777777777777,-4310.575635876839,-4294.985656913367
89,310.55555555555554,-4404.283801874161,-4397.911646586343
90,311.4,-4506.024096385539,-4506.827309236947
91,312.2,-4602.409638554215,-4606.714035629697
92,313.1,-4710.843373493978,-4699.907321594067
93,313.9230769230769,-4810.009267840591,-4784.072553952073
94,314.4230769230769,-4870.250231696013,-4871.257658004646
95,314.89285714285717,-4926.850258175563,-4953.18536884802
96,315.8181818181818,-5038.335158817086,-5031.631019582828
97,316.5,-5120.481927710844,-5121.8380013560745
98,317.17857142857144,-5202.237521514631,-5214.317810703354
99,318.1666666666667,-5321.285140562251,-5304.75749150448
100,318.7307692307692,-5389.249304911955,-5414.195242508496
101,319.57142857142856,-5490.533562822718,-5530.374244229666
102,321.0416666666667,-5667.670682730926,-5658.888300454566
103,322.0,-5783.132530120482,-5791.88181296615
104,323.5,-5963.855421686747,-5923.324878461215
105,324.25,-6054.21686746988,-6046.818854364829
106,325.0263157894737,-6147.748890298036,-6169.710420629889
107,326.1666666666667,-6285.140562248998,-6275.734517015431
108,327.1,-6397.590361445786,-6380.725911163451
109,327.9,-6493.975903614455,-6483.452607422169
110,328.60714285714283,-6579.17383820998,-6583.051000996466
111,329.2894736842105,-6661.382371591629,-6672.588096747893
112,330.3,-6783.132530120483,-6761.525665203534
113,330.8157894736842,-6845.275840202918,-6847.915179303891
114,331.59090909090907,-6938.663745892659,-6928.420266012281
115,332.1923076923077,-7011.121408711769,-7006.733519024329
116,332.6304347826087,-7063.907805133576,-7091.8952184536265
117,333.55,-7174.698795180724,-7180.851835435387
118,334.35,-7271.0843373494,-7284.651650078576
119,335.2826086956522,-7383.446830801468,-7396.253336326675
120,336.5,-7530.120481927711,-7508.95870324891
