x,y,value,smoothed_value
36,279.5,-662.6506024096386,-662.6506024096386
37,280.1666666666667,-742.9718875502031,-742.9718875502031
38,280.6034482758621,-795.5961778147099,-782.7592227982411
39,280.8448275862069,-824.6780224345684,-863.0805079388028
40,281.3695652173913,-887.8994237820858,-1008.2766772313569
41,282.8333333333333,-1064.2570281124474,-1156.0994955984208
42,286.1923076923077,-1468.9527340129735,-1311.4796368530945
43,286.73809523809524,-1534.710269650029,-1466.4298725786052
44,287.2931034482759,-1601.5787287079363,-1598.5948963098942
45,287.8,-1662.65060240964,-1739.1130127316253
46,288.3181818181818,-1725.0821467688932,-1876.6154032460643
47,292.0238095238095,-2171.5433161216283,-2012.2286365786688
48,292.44444444444446,-2222.222222222224,-2163.3473973359833
49,292.92105263157896,-2279.644895370959,-2323.781340902457
50,294.07142857142856,-2418.2444061962115,-2422.763736650865
51,294.9761904761905,-2527.2518646012627,-2529.8587835049484
52,296.13157894736844,-2666.4552948636674,-2651.7192229744956
53,296.8888888888889,-2757.69745649264,-2755.8500319245827
54,297.9782608695652,-2888.9470927186976,-2855.218936112765
55,298.39285714285717,-2938.8984509466463,-2949.1426184582447
56,299.1,-3024.0963855421714,-3037.878514423055
57,300.02941176470586,-3136.073706591067,-3117.1789939330693
58,300.57142857142856,-3201.3769363166934,-3250.164718343315
59,301.2692307692308,-3285.449490268768,-3389.6560168707583
60,303.9117647058824,-3603.8270729978767,-3527.5015165164004
61,304.8888888888889,-3721.552878179387,-3660.8661438569325
62,305.75,-3825.3012048192772,-3794.386964540196
63,306.1060606060606,-3868.200073019352,-3879.7551753513544
64,306.8103448275862,-3953.0535936850865,-3973.195603731541
65,307.45454545454544,-4030.6681270536674,-4081.629338671299
66,308.76666666666665,-4188.75502008032,-4199.555589127671
67,310.25,-4367.469879518072,-4319.788243884629
68,311.0,-4457.831325301205,-4474.224169404892
69,311.8,-4554.216867469881,-4623.621759766337
70,313.8636363636364,-4802.847754654985,-4750.127783862723
71,314.96666666666664,-4935.742971887547,-4882.657904344652
72,315.5,-5000.0,-5029.043446513325
73,316.5,-5120.481927710844,-5133.284863592298
74,317.875,-5286.144578313253,-5216.870820322447
75,318.1896551724138,-5324.054840049853,-5297.593711888712
76,318.43548387096774,-5353.672755538282,-5387.285813629007
77,318.85,-5403.614457831328,-5459.718401121836
78,320.22222222222223,-5568.942436412316,-5542.928087156616
79,320.8809523809524,-5648.307515777398,-5640.868234844141
80,321.64285714285717,-5740.103270223754,-5761.952572193537
81,322.5,-5843.373493975904,-5878.175037813594
82,323.875,-6009.036144578313,-6001.1101279277445
83,325.04545454545456,-6150.054764512598,-6117.002267916269
84,325.98275862068965,-6262.9829663481505,-6257.775888715255
85,326.45238095238096,-6319.56397016638,-6382.8413680237945
86,328.3421052631579,-6547.241597970833,-6505.7715915918625
87,329.0652173913044,-6634.363541121009,-6620.961935544807
88,330.1470588235294,-6764.705882352939,-6756.765654622798
89,330.7631578947368,-6838.93468611287,-6864.043061463785
90,332.0882352941176,-6998.58256555634,-6980.827334104218
91,332.79411764705884,-7083.628632175763,-7089.522175388862
92,333.9117647058824,-7218.284904323178,-7212.0966839494195
93,334.6578947368421,-7308.180088776155,-7321.846608015434
94,335.85,-7451.807228915665,-7441.265459893535
95,336.64285714285717,-7547.3321858864065,-7548.210888667452
96,337.75,-7680.722891566265,-7695.136778115503
97,338.35,-7753.012048192774,-7819.233163657671
98,340.75531914893617,-8042.809536016405,-7925.563245891366
99,341.0,-8072.289156626506,-7955.683727819078
