機種,画像数,最大値平均誤差,最大値平均絶対誤差,最大値中央値誤差,最終値平均誤差,最終値平均絶対誤差,最終値中央値誤差
P大海物語5 MTE2,8,-951,951,201,-61,243,216
e Re：ゼロから始める異世,7,130,130,175,-476,444,218
