rotation,value,x,y
0.00,-638.77,36.00,280.73
85.62,-651.73,37.00,280.83
171.23,-795.78,38.00,282.01
256.85,-969.73,39.00,283.44
342.47,-1133.35,40.00,284.77
428.08,-1259.61,41.00,285.81
513.70,-1349.87,42.00,286.55
599.32,-1422.02,43.00,287.14
684.93,-1466.83,44.00,287.50
770.55,-1504.80,45.00,287.81
856.16,-1556.04,46.00,288.23
941.78,-1597.32,47.00,288.57
1027.40,-1594.70,48.00,288.55
1113.01,-1694.60,49.00,289.37
1198.63,-1789.35,50.00,290.14
1284.25,-1848.66,51.00,290.63
1369.86,-2000.58,52.00,291.87
1455.48,-1932.98,53.00,291.32
1541.10,-2198.56,54.00,293.49
1626.71,-2335.69,55.00,294.61
1712.33,-2467.58,56.00,295.69
1797.95,-2608.96,57.00,296.85
1883.56,-2551.82,58.00,296.38
1969.18,-2857.79,59.00,298.89
2054.79,-2971.97,60.00,299.82
2140.41,-3078.00,61.00,300.69
2226.03,-3147.00,62.00,301.25
2311.64,-3215.65,63.00,301.81
2397.26,-3290.28,64.00,302.43
2482.88,-3375.48,65.00,303.12
2568.49,-3463.31,66.00,303.84
2654.11,-3535.47,67.00,304.43
2739.73,-3683.44,68.00,305.64
2825.34,-3681.26,69.00,305.62
2910.96,-3703.38,70.00,305.81
2996.58,-3689.92,71.00,305.70
3082.19,-3620.98,72.00,305.13
3167.81,-3436.66,73.00,303.62
3253.42,-2972.71,74.00,299.83
3339.04,-2536.17,75.00,296.25
3424.66,-1865.61,76.00,290.77
3510.27,-1301.41,77.00,286.15
3595.89,-611.02,78.00,280.50
3681.51,139.07,79.00,274.36
3767.12,336.03,80.00,270.75
3852.74,676.78,81.00,267.96
3938.36,793.01,82.00,267.01
4023.97,925.23,83.00,265.93
4109.59,847.44,84.00,266.57
4195.21,803.30,85.00,266.93
4280.82,733.20,86.00,267.50
4366.44,946.50,87.00,265.75
4452.05,1258.35,88.00,263.20
4537.67,1961.01,89.00,257.45
4623.29,1820.11,90.00,258.61
4708.90,1860.15,91.00,258.28
4794.52,1924.61,92.00,257.75
4880.14,2005.02,93.00,257.09
4965.75,2219.27,94.00,255.34
5051.37,2492.68,95.00,253.10
5136.99,2901.66,96.00,249.75
5222.60,3308.57,97.00,246.42
5308.22,3649.84,98.00,243.63
5393.84,4068.02,99.00,240.21
5479.45,4293.64,100.00,238.36
5565.07,4448.07,101.00,237.10
5650.68,4406.74,102.00,237.44
5736.30,4337.85,103.00,238.00
5821.92,4213.04,104.00,239.02
5907.53,4010.37,105.00,240.68
5993.15,4063.14,106.00,240.25
6078.77,3893.17,107.00,241.64
6164.38,3769.02,108.00,242.66
6250.00,3697.65,109.00,243.24
6335.62,3654.63,110.00,243.59
6421.23,3630.01,111.00,243.79
6506.85,3530.21,112.00,244.61
6592.47,3577.73,113.00,244.22
6678.08,3294.28,114.00,246.54
6763.70,3108.73,115.00,248.06
6849.32,2977.44,116.00,249.13
6934.93,2898.30,117.00,249.78
7020.55,2810.56,118.00,250.50
7106.16,2723.92,119.00,251.21
7191.78,2651.98,120.00,251.80
7277.40,2565.42,121.00,252.51
7363.01,2470.95,122.00,253.28
7448.63,2351.75,123.00,254.25
7534.25,2202.67,124.00,255.47
7619.86,2073.66,125.00,256.53
7705.48,1959.99,126.00,257.46
7791.10,1833.99,127.00,258.49
7876.71,1708.95,128.00,259.52
7962.33,1613.90,129.00,260.29
8047.95,1525.41,130.00,261.02
8133.56,1454.21,131.00,261.60
8219.18,1348.99,132.00,262.46
8304.79,1239.97,133.00,263.35
8390.41,1110.95,134.00,264.41
8476.03,1002.12,135.00,265.30
8561.64,912.23,136.00,266.03
8647.26,838.64,137.00,266.64
8732.88,742.23,138.00,267.43
8818.49,653.84,139.00,268.15
8904.11,559.10,140.00,268.92
8989.73,478.91,141.00,269.58
9075.34,394.21,142.00,270.27
9160.96,331.32,143.00,270.79
9246.58,257.22,144.00,271.40
9332.19,190.72,145.00,271.94
9417.81,101.40,146.00,272.67
9503.42,131.98,147.00,272.42
9589.04,-83.11,148.00,276.18
9674.66,-259.69,149.00,277.63
9760.27,-377.45,150.00,278.59
9845.89,-410.50,151.00,278.86
9931.51,-425.55,152.00,278.98
10017.12,-418.53,153.00,278.93
10102.74,-105.96,154.00,276.37
10188.36,189.41,155.00,271.95
10273.97,758.52,156.00,267.29
10359.59,1064.88,157.00,264.79
10445.21,1441.96,158.00,261.70
10530.82,1650.43,159.00,259.99
10616.44,1837.88,160.00,258.46
10702.05,1828.17,161.00,258.54
10787.67,1844.84,162.00,258.40
10873.29,1819.42,163.00,258.61
10958.90,1773.09,164.00,258.99
11044.52,1659.96,165.00,259.92
11130.14,1462.89,166.00,261.53
11215.75,1307.45,167.00,262.80
11301.37,1165.04,168.00,263.97
11386.99,1064.19,169.00,264.79
11472.60,956.24,170.00,265.67
11558.22,850.15,171.00,266.54
11643.84,720.56,172.00,267.60
11729.45,733.20,173.00,267.50
11815.07,607.55,174.00,268.53
11900.68,511.15,175.00,269.32
11986.30,396.44,176.00,270.26
12071.92,327.16,177.00,270.82
12157.53,253.60,178.00,271.42
12243.15,195.67,179.00,271.90
12328.77,120.16,180.00,272.52
12414.38,125.59,181.00,272.47
12500.00,103.00,182.00,274.66
12585.62,-92.08,183.00,276.25
12671.23,-231.55,184.00,277.39
12756.85,-318.75,185.00,278.11
12842.47,-385.26,186.00,278.65
12928.08,-468.43,187.00,279.33
13013.70,-449.92,188.00,279.18
13099.32,-618.29,189.00,280.56
13184.93,-726.57,190.00,281.45
13270.55,-823.03,191.00,282.24
13356.16,-888.00,192.00,282.77
13441.78,-962.42,193.00,283.38
13527.40,-1034.97,194.00,283.97
13613.01,-1099.20,195.00,284.50
13698.63,-1234.86,196.00,285.61
13784.25,-1210.36,197.00,285.40
13869.86,-1421.16,198.00,287.13
13955.48,-1474.68,199.00,287.57
14041.10,-1534.43,200.00,288.06
14126.71,-1450.63,201.00,287.37
14212.33,-1568.23,202.00,288.33
14297.95,-675.74,203.00,281.03
14383.56,-23.51,204.00,275.69
14469.18,767.64,205.00,267.22
14554.79,1502.68,206.00,261.20
14640.41,2172.93,207.00,255.72
14726.03,3033.10,208.00,248.68
14811.64,3619.55,209.00,243.88
14897.26,4240.33,210.00,238.80
14982.88,4662.32,211.00,235.35
15068.49,5151.22,212.00,231.35
15154.11,6476.58,213.00,220.50
15239.73,6432.75,214.00,220.86
15325.34,7003.04,215.00,216.19
15410.96,7480.76,216.00,212.28
15496.58,7953.61,217.00,208.41
15582.19,8587.56,218.00,203.23
15667.81,9355.06,219.00,196.94
15753.42,9252.25,220.00,197.79
15839.04,9825.59,221.00,193.09
15924.66,10217.15,222.00,189.89
16010.27,10789.78,223.00,185.20
16095.89,12135.95,224.00,174.19
16181.51,12073.32,225.00,174.70
16267.12,12840.21,226.00,168.42
16352.74,13051.01,227.00,166.70
16438.36,13149.53,228.00,165.89
16523.97,13094.12,229.00,166.35
16609.59,13085.98,230.00,166.41
16695.21,12968.26,231.00,167.38
16780.82,12830.96,232.00,168.50
16866.44,12799.65,233.00,168.76
16952.05,12688.40,234.00,169.67
17037.67,12605.70,235.00,170.34
17123.29,12513.83,236.00,171.10
17208.90,12605.57,237.00,170.34
17294.52,12294.64,238.00,172.89
17380.14,12294.22,239.00,172.89
17465.75,12161.60,240.00,173.98
17551.37,12071.62,241.00,174.71
17636.99,11948.69,242.00,175.72
17722.60,11854.35,243.00,176.49
17808.22,11731.16,244.00,177.50
17893.84,11758.32,245.00,177.28
17979.45,11575.64,246.00,178.77
18065.07,11480.18,247.00,179.55
18150.68,11392.37,248.00,180.27
18236.30,11330.45,249.00,180.78
18321.92,11228.90,250.00,181.61
18407.53,11114.65,251.00,182.55
18493.15,10987.99,252.00,183.58
18578.77,10862.32,253.00,184.61
18664.38,10756.01,254.00,185.48
18750.00,10646.20,255.00,186.38
18835.62,10520.63,256.00,187.41
18921.23,10410.92,257.00,188.30
19006.85,10241.49,258.00,189.69
19092.47,10287.28,259.00,189.32
19178.08,10244.51,260.00,189.67
19263.70,10345.46,261.00,188.84
19349.32,10574.74,262.00,186.96
19434.93,10906.11,263.00,184.25
19520.55,10955.19,264.00,183.85
19606.16,11625.21,265.00,178.37
19691.78,11953.34,266.00,175.68
19777.40,12005.50,267.00,175.25
19863.01,12109.22,268.00,174.41
19948.63,12185.77,269.00,173.78
20034.25,12248.43,270.00,173.27
20119.86,12259.94,271.00,173.17
20205.48,12233.14,272.00,173.39
20291.10,12177.87,273.00,173.84
20376.71,12080.48,274.00,174.64
20462.33,11986.52,275.00,175.41
20547.95,11894.82,276.00,176.16
20633.56,11834.57,277.00,176.65
20719.18,11763.34,278.00,177.24
20804.79,11676.58,279.00,177.95
20890.41,11584.12,280.00,178.70
20976.03,11485.37,281.00,179.51
21061.64,11389.61,282.00,180.29
21147.26,11276.99,283.00,181.22
21232.88,11160.32,284.00,182.17
21318.49,11038.35,285.00,183.17
21404.11,10931.18,286.00,184.05
21489.73,10807.28,287.00,185.06
21575.34,10665.61,288.00,186.22
21660.96,10502.38,289.00,187.56
21746.58,10516.80,290.00,187.44
21832.19,10362.70,291.00,188.70
21917.81,10265.92,292.00,189.49
22003.42,10167.27,293.00,190.30
22089.04,10057.86,294.00,191.19
22174.66,9974.75,295.00,191.87
22260.27,9869.89,296.00,192.73
22345.89,9770.47,297.00,193.54
22431.51,9619.40,298.00,194.78
22517.12,9667.35,299.00,194.39
22602.74,9439.80,300.00,196.25
22688.36,9220.85,301.00,198.04
22773.97,9082.84,302.00,199.17
