rotation,value,x,y,is_max,is_min
0.00,-611.00,36.00,279.50,False,False
85.62,-750.65,37.00,280.64,False,False
171.23,-769.70,38.00,280.80,False,False
256.85,-830.36,39.00,281.30,False,False
342.47,-932.27,40.00,282.13,False,False
428.08,-1086.87,41.00,283.39,False,False
513.70,-1341.21,42.00,285.48,False,False
599.32,-1483.96,43.00,286.64,False,False
684.93,-1577.55,44.00,287.41,False,False
770.55,-1655.42,45.00,288.05,False,False
856.16,-1800.03,46.00,289.23,False,False
941.78,-2031.62,47.00,291.13,False,False
1027.40,-2199.07,48.00,292.50,False,False
1113.01,-2315.91,49.00,293.45,False,False
1198.63,-2402.31,50.00,294.16,False,False
1284.25,-2496.34,51.00,294.93,False,False
1369.86,-2594.25,52.00,295.73,False,False
1455.48,-2713.53,53.00,296.71,False,False
1541.10,-2815.76,54.00,297.54,False,False
1626.71,-2934.66,55.00,298.52,False,False
1712.33,-3049.74,56.00,299.46,False,False
1797.95,-3186.59,57.00,300.58,False,False
1883.56,-3177.19,58.00,300.50,False,False
1969.18,-3334.77,59.00,301.79,False,False
2054.79,-3510.60,60.00,303.23,False,False
2140.41,-3678.97,61.00,304.61,False,False
2226.03,-3790.31,62.00,305.52,False,False
2311.64,-3931.19,63.00,306.67,False,False
2397.26,-3869.65,64.00,306.17,False,False
2482.88,-4052.67,65.00,307.66,False,False
2568.49,-4176.22,66.00,308.68,False,False
2654.11,-4334.67,67.00,309.97,False,False
2739.73,-4432.82,68.00,310.78,False,False
2825.34,-4572.54,69.00,311.92,False,False
2910.96,-4734.61,70.00,313.24,False,False
2996.58,-4888.00,71.00,314.50,False,False
3082.19,-5013.15,72.00,315.52,False,False
3167.81,-5122.07,73.00,316.42,False,False
3253.42,-5231.98,74.00,317.32,False,False
3339.04,-5303.41,75.00,317.90,False,False
3424.66,-5371.92,76.00,318.46,False,False
3510.27,-5440.77,77.00,319.02,False,False
3595.89,-5555.57,78.00,319.96,False,False
3681.51,-5658.18,79.00,320.80,False,False
3767.12,-5876.69,80.00,322.59,False,False
3852.74,-5839.02,81.00,322.28,False,False
3938.36,-6044.24,82.00,323.96,False,False
4023.97,-6171.25,83.00,325.00,False,False
4109.59,-6280.93,84.00,325.90,False,False
4195.21,-6398.71,85.00,326.86,False,False
