rotation,value,x,y,is_max,is_min
25770.55,306.33,337.00,271.99,False,False
25856.16,385.91,338.00,271.34,False,False
25941.78,476.59,339.00,270.60,False,False
26027.40,497.98,340.00,270.42,False,False
26113.01,441.85,341.00,270.88,False,False
26198.63,302.22,342.00,272.03,False,False
26284.25,69.68,343.00,273.93,False,False
26369.86,-149.29,344.00,275.72,False,False
26455.48,-337.21,345.00,277.26,False,False
26541.10,-490.52,346.00,278.51,False,False
26626.71,-624.84,347.00,279.61,False,False
26712.33,-585.05,348.00,279.29,False,False
26797.95,-475.94,349.00,278.39,False,False
26883.56,-704.48,350.00,280.26,False,False
26969.18,-856.80,351.00,281.51,False,False
27054.79,-1067.58,352.00,283.24,False,False
27140.41,-960.61,353.00,282.36,False,False
27226.03,-1092.42,354.00,283.44,False,False
27311.64,-1279.37,355.00,284.97,False,False
27397.26,-1539.51,356.00,287.10,False,False
27482.88,-1541.59,357.00,287.12,False,False
27568.49,-1769.36,358.00,288.98,False,False
27654.11,-1815.95,359.00,289.36,False,False
27739.73,-1945.54,360.00,290.42,False,False
27825.34,-1844.24,361.00,289.59,False,False
27910.96,-1995.27,362.00,290.83,False,False
27996.58,-1890.02,363.00,289.97,False,False
28082.19,-2230.60,364.00,292.75,False,False
28167.81,-2357.50,365.00,293.79,False,False
28253.42,-2652.83,366.00,296.21,False,False
28339.04,-3054.99,367.00,299.50,False,False
28424.66,-2978.74,368.00,298.88,False,False
28510.27,-2920.57,369.00,298.40,False,False
28595.89,-3011.75,370.00,299.15,False,False
28681.51,-3010.13,371.00,299.13,False,False
28767.12,-3296.04,372.00,301.47,False,False
28852.74,-3264.17,373.00,301.21,False,False
28938.36,-3226.07,374.00,300.90,False,False
29023.97,-3558.87,375.00,303.62,False,False
29109.59,-3658.93,376.00,304.44,False,False
29195.21,-3717.11,377.00,304.92,False,False
29280.82,-3856.92,378.00,306.06,False,False
29366.44,-3828.31,379.00,305.83,False,False
29452.05,-3881.50,380.00,306.26,False,False
29537.67,-3966.87,381.00,306.96,False,False
29623.29,-4203.89,382.00,308.90,False,False
29708.90,-4279.77,383.00,309.52,False,False
29794.52,-4333.66,384.00,309.96,False,False
29880.14,-4452.65,385.00,310.94,False,False
29965.75,-4294.44,386.00,309.64,False,False
30051.37,-4533.21,387.00,311.60,False,False
30136.99,-4653.15,388.00,312.58,False,False
30222.60,-4897.23,389.00,314.58,False,False
30308.22,-5064.23,390.00,315.94,False,False
30393.84,-5276.39,391.00,317.68,False,False
30479.45,-5032.58,392.00,315.68,False,False
30565.07,-4688.02,393.00,312.86,False,False
30650.68,-4731.30,394.00,313.22,False,False
30736.30,-4695.42,395.00,312.92,False,False
30821.92,-4610.50,396.00,312.23,False,False
30907.53,-5401.22,397.00,318.70,False,False
30993.15,-4445.24,398.00,310.88,False,False
31078.77,-3436.89,399.00,302.63,False,False
31164.38,-2285.82,400.00,293.21,False,False
31250.00,-566.56,401.00,279.14,False,False
31335.62,-2158.86,402.00,292.17,False,False
31421.23,-1278.93,403.00,284.97,False,False
31506.85,-1075.98,404.00,283.31,False,False
31592.47,-816.39,405.00,281.18,False,False
31678.08,-636.90,406.00,279.71,False,False
31763.70,-451.42,407.00,278.19,False,False
31849.32,-480.33,408.00,278.43,False,False
31934.93,-508.61,409.00,278.66,False,False
32020.55,-464.01,410.00,278.30,False,False
32106.16,-537.26,411.00,278.90,False,False
32191.78,-533.31,412.00,278.86,False,False
32277.40,-502.38,413.00,278.61,False,False
32363.01,-584.81,414.00,279.29,False,False
32448.63,-476.02,415.00,278.40,False,False
32534.25,-490.37,416.00,278.51,False,False
32619.86,-618.42,417.00,279.56,False,False
32705.48,-953.52,418.00,282.30,False,False
32791.10,-1135.97,419.00,283.80,False,False
32876.71,-1071.92,420.00,283.27,False,False
32962.33,-1515.01,421.00,286.90,False,False
33047.95,-1657.88,422.00,288.07,False,False
33133.56,-1731.73,423.00,288.67,False,False
33219.18,-1775.49,424.00,289.03,False,False
33304.79,-1661.81,425.00,288.10,False,False
33390.41,-1823.62,426.00,289.42,False,False
33476.03,-1923.86,427.00,290.24,False,False
33561.64,-1952.89,428.00,290.48,False,False
33647.26,-1964.13,429.00,290.57,False,False
33732.88,-2070.34,430.00,291.44,False,False
33818.49,-2275.20,431.00,293.12,False,False
33904.11,-2500.21,432.00,294.96,False,False
33989.73,-2710.22,433.00,296.68,False,False
34075.34,-2692.57,434.00,296.53,False,False
34160.96,-2725.91,435.00,296.81,False,False
34246.58,-2718.52,436.00,296.75,False,False
34332.19,-2691.65,437.00,296.53,False,False
34417.81,-2845.50,438.00,297.79,False,False
34503.42,-2776.65,439.00,297.22,False,False
34589.04,-3119.59,440.00,300.03,False,False
34674.66,-3285.12,441.00,301.38,False,False
34760.27,-3450.70,442.00,302.74,False,False
34845.89,-3560.08,443.00,303.63,False,False
34931.51,-3694.45,444.00,304.73,False,False
35017.12,-3600.81,445.00,303.97,False,False
35102.74,-3809.76,446.00,305.68,False,False
35188.36,-3946.05,447.00,306.79,False,False
35273.97,-3996.95,448.00,307.21,False,False
35359.59,-4025.63,449.00,307.44,False,False
35445.21,-4256.28,450.00,309.33,False,False
