rotation,value,x,y,is_max,is_min
0.00,-710.29,36.00,280.31,False,False
85.62,-849.29,37.00,281.45,False,False
171.23,-973.99,38.00,282.47,False,False
256.85,-1225.30,39.00,284.53,False,False
342.47,-1175.00,40.00,284.12,False,False
428.08,-1347.68,41.00,285.53,False,False
513.70,-1475.10,42.00,286.57,False,False
599.32,-1590.56,43.00,287.52,False,False
684.93,-1681.86,44.00,288.26,False,False
770.55,-1732.36,45.00,288.68,False,False
856.16,-1781.17,46.00,289.08,False,False
941.78,-1852.77,47.00,289.66,False,False
1027.40,-1955.17,48.00,290.50,False,False
1113.01,-2053.38,49.00,291.30,False,False
1198.63,-2207.92,50.00,292.57,False,False
1284.25,-2184.69,51.00,292.38,False,False
1369.86,-2357.61,52.00,293.79,False,False
1455.48,-2517.13,53.00,295.10,False,False
1541.10,-2669.58,54.00,296.35,False,False
1626.71,-2806.47,55.00,297.47,False,False
1712.33,-2913.61,56.00,298.34,False,False
1797.95,-3074.28,57.00,299.66,False,False
1883.56,-3024.26,58.00,299.25,False,False
1969.18,-3000.43,59.00,299.05,False,False
2054.79,-2933.62,60.00,298.51,False,False
2140.41,-2843.89,61.00,297.77,False,False
2226.03,-2712.83,62.00,296.70,False,False
2311.64,-2822.51,63.00,297.60,False,False
2397.26,-2545.15,64.00,295.33,False,False
2482.88,-2353.73,65.00,293.76,False,False
2568.49,-2211.77,66.00,292.60,False,False
2654.11,-2107.94,67.00,291.75,False,False
2739.73,-2224.78,68.00,292.71,False,False
2825.34,-2317.82,69.00,293.47,False,False
2910.96,-2475.87,70.00,294.76,False,False
2996.58,-2526.93,71.00,295.18,False,False
3082.19,-2662.10,72.00,296.28,False,False
3167.81,-2795.07,73.00,297.37,False,False
3253.42,-2924.61,74.00,298.43,False,False
3339.04,-3020.84,75.00,299.22,False,False
3424.66,-3110.16,76.00,299.95,False,False
3510.27,-3186.51,77.00,300.58,False,False
3595.89,-3266.00,78.00,301.23,False,False
3681.51,-3348.12,79.00,301.90,False,False
3767.12,-3427.36,80.00,302.55,False,False
3852.74,-3512.87,81.00,303.25,False,False
3938.36,-3583.89,82.00,303.83,False,False
4023.97,-3689.97,83.00,304.70,False,False
4109.59,-3805.67,84.00,305.64,False,False
4195.21,-3935.20,85.00,306.70,False,False
4280.82,-4048.25,86.00,307.63,False,False
4366.44,-4163.59,87.00,308.57,False,False
4452.05,-4283.93,88.00,309.56,False,False
4537.67,-4403.04,89.00,310.53,False,False
4623.29,-4526.47,90.00,311.54,False,False
4708.90,-4627.92,91.00,312.37,False,False
4794.52,-4770.00,92.00,313.53,False,False
4880.14,-4765.78,93.00,313.50,False,False
4965.75,-4870.05,94.00,314.35,False,False
5051.37,-4928.47,95.00,314.83,False,False
5136.99,-5020.80,96.00,315.59,False,False
5222.60,-5128.53,97.00,316.47,False,False
5308.22,-5225.00,98.00,317.26,False,False
5393.84,-5376.78,99.00,318.50,False,False
5479.45,-5353.38,100.00,318.31,False,False
5565.07,-5535.57,101.00,319.80,False,False
5650.68,-5691.14,102.00,321.07,False,False
5736.30,-5849.42,103.00,322.37,False,False
5821.92,-5979.39,104.00,323.43,False,False
5907.53,-6084.40,105.00,324.29,False,False
5993.15,-6180.85,106.00,325.08,False,False
6078.77,-6295.18,107.00,326.02,False,False
6164.38,-6388.02,108.00,326.78,False,False
6250.00,-6502.23,109.00,327.71,False,False
6335.62,-6597.35,110.00,328.49,False,False
6421.23,-6705.15,111.00,329.37,False,False
6506.85,-6808.63,112.00,330.22,False,False
6592.47,-6895.03,113.00,330.92,False,False
6678.08,-6973.43,114.00,331.57,False,False
6763.70,-7065.32,115.00,332.32,False,False
6849.32,-7140.33,116.00,332.93,False,False
6934.93,-7236.75,117.00,333.72,False,False
7020.55,-7338.13,118.00,334.55,False,False
7106.16,-7449.58,119.00,335.46,False,False
7191.78,-7566.79,120.00,336.42,False,False
7277.40,-7669.88,121.00,337.27,False,False
7363.01,-7793.81,122.00,338.28,False,False
7448.63,-7890.01,123.00,339.07,False,False
7534.25,-8065.17,124.00,340.50,False,False
7619.86,-8053.64,125.00,340.41,False,False
7705.48,-8240.96,126.00,341.94,False,False
7791.10,-8299.75,127.00,342.42,False,False
7876.71,-8366.82,128.00,342.97,False,False
7962.33,-8436.25,129.00,343.54,False,False
8047.95,-8581.13,130.00,344.72,False,False
8133.56,-8551.26,131.00,344.48,False,False
8219.18,-8737.43,132.00,346.00,False,False
8304.79,-8816.68,133.00,346.65,False,False
8390.41,-8937.10,134.00,347.64,False,False
8476.03,-9039.24,135.00,348.47,False,False
8561.64,-9162.72,136.00,349.48,False,False
8647.26,-9271.37,137.00,350.37,False,False
8732.88,-9391.45,138.00,351.35,False,False
8818.49,-9513.74,139.00,352.35,False,False
8904.11,-9647.34,140.00,353.45,False,False
8989.73,-9769.38,141.00,354.45,False,False
9075.34,-9891.55,142.00,355.45,False,False
9160.96,-9995.21,143.00,356.29,False,False
9246.58,-10098.35,144.00,357.14,False,False
9332.19,-10166.74,145.00,357.70,False,False
9417.81,-10249.68,146.00,358.38,False,False
9503.42,-10300.29,147.00,358.79,False,False
9589.04,-10411.41,148.00,359.70,False,False
9674.66,-10329.68,149.00,359.03,False,False
9760.27,-10095.13,150.00,357.11,False,False
9845.89,-9743.05,151.00,354.23,False,False
9931.51,-9469.54,152.00,351.99,False,False
10017.12,-9494.91,153.00,352.20,False,False
10102.74,-8810.41,154.00,346.60,False,False
10188.36,-8368.38,155.00,342.98,False,False
10273.97,-7169.04,156.00,333.17,False,False
10359.59,-6903.98,157.00,331.00,False,False
10445.21,-6049.69,158.00,324.01,False,False
10530.82,-5395.42,159.00,318.65,False,False
10616.44,-4832.99,160.00,314.05,False,False
10702.05,-4185.95,161.00,308.75,False,False
10787.67,-3524.58,162.00,303.34,False,False
10873.29,-2865.25,163.00,297.95,False,False
10958.90,-2025.68,164.00,291.08,False,False
11044.52,-1481.27,165.00,286.62,False,False
11130.14,-1126.95,166.00,283.72,False,False
11215.75,-1142.30,167.00,283.85,False,False
11301.37,-1024.24,168.00,282.88,False,False
11386.99,-1004.83,169.00,282.72,False,False
11472.60,-1040.24,170.00,283.01,False,False
11558.22,-1143.60,171.00,283.86,False,False
11643.84,-1379.57,172.00,285.79,False,False
11729.45,-1378.56,173.00,285.78,False,False
11815.07,-1676.01,174.00,288.22,False,False
11900.68,-1844.00,175.00,289.59,False,False
11986.30,-1944.83,176.00,290.42,False,False
12071.92,-1993.68,177.00,290.81,False,False
12157.53,-2074.54,178.00,291.48,False,False
12243.15,-2180.57,179.00,292.34,False,False
12328.77,-2306.56,180.00,293.38,False,False
12414.38,-2414.20,181.00,294.26,False,False
12500.00,-2515.44,182.00,295.08,False,False
12585.62,-2604.36,183.00,295.81,False,False
12671.23,-2716.98,184.00,296.73,False,False
12756.85,-2851.57,185.00,297.84,False,False
12842.47,-2985.94,186.00,298.93,False,False
12928.08,-3102.01,187.00,299.88,False,False
13013.70,-3188.82,188.00,300.60,False,False
13099.32,-3248.10,189.00,301.08,False,False
13184.93,-3095.78,190.00,299.83,False,False
13270.55,-3305.21,191.00,301.55,False,False
13356.16,-1869.29,192.00,289.80,False,False
13441.78,-1163.92,193.00,284.02,False,False
13527.40,-593.48,194.00,279.36,False,False
13613.01,81.62,195.00,273.83,False,False
13698.63,597.45,196.00,269.61,False,False
13784.25,1195.26,197.00,264.72,False,False
13869.86,1930.54,198.00,258.70,False,False
13955.48,2488.11,199.00,254.14,False,False
14041.10,3118.42,200.00,248.98,False,False
14126.71,3386.09,201.00,246.79,False,False
14212.33,3808.55,202.00,245.33,True,False
14297.95,3508.08,203.00,245.79,False,False
14383.56,3484.60,204.00,245.98,False,False
14469.18,3451.33,205.00,246.26,False,False
14554.79,3432.39,206.00,246.41,False,False
14640.41,3414.21,207.00,246.56,False,False
14726.03,3391.88,208.00,246.74,False,False
14811.64,3338.47,209.00,247.18,False,False
14897.26,3270.36,210.00,247.74,False,False
14982.88,3117.77,211.00,248.99,False,False
15068.49,2904.55,212.00,250.73,False,False
15154.11,2612.07,213.00,253.12,False,False
15239.73,2444.55,214.00,254.50,False,False
15325.34,2328.98,215.00,255.44,False,False
15410.96,2340.89,216.00,255.34,False,False
15496.58,2192.72,217.00,256.56,False,False
15582.19,2090.57,218.00,257.39,False,False
15667.81,2002.62,219.00,258.11,False,False
15753.42,1934.74,220.00,258.67,False,False
15839.04,1853.49,221.00,259.33,False,False
15924.66,1762.60,222.00,260.08,False,False
16010.27,1652.18,223.00,260.98,False,False
16095.89,1502.94,224.00,262.20,False,False
16181.51,1396.91,225.00,263.07,False,False
16267.12,1310.20,226.00,263.78,False,False
16352.74,1222.00,227.00,264.50,False,False
16438.36,1242.36,228.00,264.33,False,False
16523.97,1095.38,229.00,265.54,False,False
16609.59,984.44,230.00,266.44,False,False
16695.21,845.16,231.00,267.58,False,False
16780.82,726.04,232.00,268.56,False,False
16866.44,615.63,233.00,269.46,False,False
16952.05,492.89,234.00,270.47,False,False
17037.67,385.25,235.00,271.35,False,False
17123.29,310.89,236.00,271.96,False,False
17208.90,265.37,237.00,272.33,False,False
17294.52,181.61,238.00,273.01,False,False
17380.14,46.53,239.00,274.12,False,False
17465.75,-209.94,240.00,276.22,False,False
17551.37,-365.39,241.00,277.49,False,False
17636.99,-472.93,242.00,278.37,False,False
17722.60,-543.07,243.00,278.94,False,False
17808.22,-616.07,244.00,279.54,False,False
