rotation,value,x,y
0.00,-794.30,36.00,281.00
85.62,-668.00,37.00,279.97
171.23,-366.60,38.00,277.50
256.85,-415.28,39.00,277.90
342.47,182.49,40.00,273.01
428.08,60.51,41.00,274.00
513.70,364.46,42.00,271.52
599.32,-666.89,43.00,279.96
684.93,-363.19,44.00,277.47
770.55,483.41,45.00,270.54
856.16,482.11,46.00,270.55
941.78,360.37,47.00,271.55
1027.40,238.97,48.00,272.54
1113.01,177.55,49.00,273.05
1198.63,-359.23,50.00,277.44
1284.25,-418.99,51.00,277.93
1369.86,-478.88,52.00,278.42
1455.48,-597.57,53.00,279.39
1541.10,-361.51,54.00,277.46
1626.71,-833.98,55.00,281.32
1712.33,-894.06,56.00,281.82
1797.95,-954.54,57.00,282.31
1883.56,-446.34,58.00,278.15
1969.18,-1076.77,59.00,283.31
2054.79,-633.54,60.00,279.68
2140.41,-963.17,61.00,282.38
2226.03,-821.41,62.00,281.22
2311.64,-1326.34,63.00,285.35
2397.26,-900.76,64.00,281.87
2482.88,-1452.93,65.00,286.39
2568.49,-1036.55,66.00,282.98
2654.11,-1157.31,67.00,283.97
2739.73,-1276.76,68.00,284.95
2825.34,-1807.99,69.00,289.30
2910.96,-1408.39,70.00,286.03
2996.58,-1523.23,71.00,286.97
3082.19,-2034.45,72.00,291.15
3167.81,-1646.29,73.00,287.97
3253.42,-2142.69,74.00,292.03
3339.04,-1810.50,75.00,289.32
3424.66,-2243.13,76.00,292.86
3510.27,-1871.35,77.00,289.81
3595.89,-1922.78,78.00,290.23
3681.51,-1972.23,79.00,290.64
3767.12,-2418.70,80.00,294.29
3852.74,-2065.19,81.00,291.40
3938.36,-2493.80,82.00,294.91
4023.97,-2150.64,83.00,292.10
4109.59,-2396.56,84.00,294.11
4195.21,-2632.57,85.00,296.04
4280.82,-2148.50,86.00,292.08
4366.44,-2187.44,87.00,292.40
4452.05,-1961.84,88.00,290.55
4537.67,-2417.88,89.00,294.29
4623.29,-2301.10,90.00,293.33
4708.90,-2199.17,91.00,292.50
4794.52,-1799.50,92.00,289.23
4880.14,-1821.07,93.00,289.40
4965.75,-1877.09,94.00,289.86
5051.37,-1933.66,95.00,290.32
5136.99,-2290.11,96.00,293.24
5222.60,-2077.56,97.00,291.50
5308.22,-2162.84,98.00,292.20
5393.84,-2246.66,99.00,292.89
5479.45,-2534.05,100.00,295.24
5565.07,-2360.80,101.00,293.82
5650.68,-2629.39,102.00,296.02
5736.30,-2477.89,103.00,294.78
5821.92,-2558.61,104.00,295.44
5907.53,-2637.70,105.00,296.09
5993.15,-2864.45,106.00,297.94
6078.77,-2755.82,107.00,297.05
6164.38,-2815.93,108.00,297.54
6250.00,-2876.80,109.00,298.04
6335.62,-2938.47,110.00,298.55
6421.23,-3050.56,111.00,299.46
6506.85,-3064.41,112.00,299.58
6592.47,-3206.83,113.00,300.74
6678.08,-3185.67,114.00,300.57
6763.70,-3288.67,115.00,301.41
6849.32,-3378.97,116.00,302.15
6934.93,-3396.35,117.00,302.29
7020.55,-3466.00,118.00,302.86
7106.16,-3536.81,119.00,303.44
7191.78,-3608.83,120.00,304.03
7277.40,-3678.85,121.00,304.61
7363.01,-3749.64,122.00,305.18
7448.63,-3821.15,123.00,305.77
7534.25,-3893.37,124.00,306.36
7619.86,-3966.26,125.00,306.96
7705.48,-4039.78,126.00,307.56
7791.10,-4113.90,127.00,308.17
7876.71,-4188.60,128.00,308.78
7962.33,-4263.83,129.00,309.39
8047.95,-4339.57,130.00,310.01
8133.56,-4415.79,131.00,310.64
8219.18,-4492.44,132.00,311.26
8304.79,-4569.51,133.00,311.89
8390.41,-4646.95,134.00,312.53
8476.03,-4724.74,135.00,313.16
8561.64,-4802.84,136.00,313.80
8647.26,-4881.22,137.00,314.44
8732.88,-4959.84,138.00,315.09
8818.49,-5038.69,139.00,315.73
8904.11,-5117.72,140.00,316.38
8989.73,-5196.90,141.00,317.03
9075.34,-5276.19,142.00,317.68
9160.96,-5355.58,143.00,318.33
9246.58,-5435.02,144.00,318.98
9332.19,-5514.48,145.00,319.63
9417.81,-5593.93,146.00,320.28
9503.42,-5673.34,147.00,320.93
9589.04,-5752.68,148.00,321.58
9674.66,-5831.91,149.00,322.22
9760.27,-5911.00,150.00,322.87
9845.89,-5989.92,151.00,323.52
9931.51,-6068.64,152.00,324.16
10017.12,-6147.11,153.00,324.80
10102.74,-6225.33,154.00,325.44
10188.36,-6303.24,155.00,326.08
10273.97,-6380.82,156.00,326.72
10359.59,-6458.03,157.00,327.35
10445.21,-6534.85,158.00,327.98
10530.82,-6611.24,159.00,328.60
10616.44,-6687.16,160.00,329.22
10702.05,-6762.60,161.00,329.84
10787.67,-6837.50,162.00,330.45
10873.29,-6911.85,163.00,331.06
10958.90,-6985.61,164.00,331.67
11044.52,-7058.75,165.00,332.26
11130.14,-7131.22,166.00,332.86
11215.75,-7203.02,167.00,333.44
11301.37,-7274.09,168.00,334.03
11386.99,-7344.41,169.00,334.60
11472.60,-7413.95,170.00,335.17
11558.22,-7482.67,171.00,335.73
11643.84,-7550.54,172.00,336.29
11729.45,-7617.53,173.00,336.84
11815.07,-7683.61,174.00,337.38
11900.68,-7748.74,175.00,337.91
11986.30,-7812.90,176.00,338.44
12071.92,-7876.09,177.00,338.95
12157.53,-7938.56,178.00,339.46
12243.15,-8000.56,179.00,339.97
12328.77,-8062.39,180.00,340.48
12414.38,-8124.31,181.00,340.98
12500.00,-8186.61,182.00,341.49
12585.62,-8249.55,183.00,342.01
12671.23,-8313.42,184.00,342.53
12756.85,-8378.50,185.00,343.06
12842.47,-8445.06,186.00,343.61
12928.08,-8513.37,187.00,344.17
13013.70,-8583.71,188.00,344.74
13099.32,-8656.37,189.00,345.34
13184.93,-8731.61,190.00,345.95
13270.55,-8809.71,191.00,346.59
13356.16,-8890.95,192.00,347.26
13441.78,-8975.61,193.00,347.95
13527.40,-9063.97,194.00,348.67
13613.01,-9155.60,195.00,349.42
13698.63,-9247.37,196.00,350.17
13784.25,-9335.44,197.00,350.90
13869.86,-9415.98,198.00,351.55
13955.48,-9485.14,199.00,352.12
14041.10,-9539.10,200.00,352.56
14126.71,-9574.02,201.00,352.85
14212.33,-9586.06,202.00,352.95
14297.95,-9571.39,203.00,352.83
14383.56,-9527.43,204.00,352.47
14469.18,-9456.64,205.00,351.89
14554.79,-9362.74,206.00,351.12
14640.41,-9249.43,207.00,350.19
14726.03,-9120.44,208.00,349.14
14811.64,-8979.47,209.00,347.98
14897.26,-8830.26,210.00,346.76
14982.88,-8676.50,211.00,345.50
15068.49,-8521.41,212.00,344.23
15154.11,-8366.16,213.00,342.96
15239.73,-8211.44,214.00,341.70
15325.34,-8057.90,215.00,340.44
15410.96,-7906.22,216.00,339.20
15496.58,-7757.08,217.00,337.98
15582.19,-7611.14,218.00,336.78
15667.81,-7469.08,219.00,335.62
15753.42,-7331.56,220.00,334.50
15839.04,-7199.26,221.00,333.41
15924.66,-7072.85,222.00,332.38
16010.27,-6953.00,223.00,331.40
16095.89,-6840.39,224.00,330.48
16181.51,-6735.68,225.00,329.62
16267.12,-6639.55,226.00,328.83
16352.74,-6552.66,227.00,328.12
16438.36,-6475.70,228.00,327.49
16523.97,-6409.32,229.00,326.95
16609.59,-6354.02,230.00,326.50
16695.21,-6309.49,231.00,326.13
16780.82,-6275.26,232.00,325.85
16866.44,-6250.83,233.00,325.65
16952.05,-6235.74,234.00,325.53
17037.67,-6229.49,235.00,325.48
17123.29,-6231.60,236.00,325.50
17208.90,-6241.58,237.00,325.58
17294.52,-6258.96,238.00,325.72
17380.14,-6283.25,239.00,325.92
17465.75,-6313.96,240.00,326.17
17551.37,-6350.61,241.00,326.47
17636.99,-6392.72,242.00,326.81
17722.60,-6439.80,243.00,327.20
17808.22,-6491.37,244.00,327.62
17893.84,-6546.95,245.00,328.08
17979.45,-6606.06,246.00,328.56
18065.07,-6668.25,247.00,329.07
18150.68,-6733.30,248.00,329.60
18236.30,-6801.03,249.00,330.16
18321.92,-6871.25,250.00,330.73
18407.53,-6943.80,251.00,331.32
18493.15,-7018.49,252.00,331.93
18578.77,-7095.14,253.00,332.56
18664.38,-7173.57,254.00,333.20
18750.00,-7253.59,255.00,333.86
18835.62,-7335.04,256.00,334.53
18921.23,-7417.73,257.00,335.20
19006.85,-7501.48,258.00,335.89
19092.47,-7586.11,259.00,336.58
19178.08,-7671.45,260.00,337.28
19263.70,-7757.30,261.00,337.98
19349.32,-7843.50,262.00,338.69
19434.93,-7929.86,263.00,339.39
19520.55,-8016.20,264.00,340.10
19606.16,-8102.34,265.00,340.80
19691.78,-8188.11,266.00,341.51
19777.40,-8273.31,267.00,342.20
19863.01,-8357.78,268.00,342.89
19948.63,-8441.34,269.00,343.58
20034.25,-8523.80,270.00,344.25
20119.86,-8604.98,271.00,344.92
20205.48,-8684.70,272.00,345.57
20291.10,-8762.79,273.00,346.21
20376.71,-8839.06,274.00,346.83
20462.33,-8913.34,275.00,347.44
20547.95,-8985.44,276.00,348.03
20633.56,-9055.19,277.00,348.60
20719.18,-9122.40,278.00,349.15
20804.79,-9186.90,279.00,349.68
20890.41,-9248.50,280.00,350.18
20976.03,-9307.03,281.00,350.66
21061.64,-9362.56,282.00,351.12
21147.26,-9416.25,283.00,351.56
21232.88,-9469.50,284.00,351.99
21318.49,-9523.71,285.00,352.44
21404.11,-9580.29,286.00,352.90
21489.73,-9640.64,287.00,353.39
21575.34,-9706.18,288.00,353.93
21660.96,-9778.30,289.00,354.52
21746.58,-9858.42,290.00,355.17
21832.19,-9945.80,291.00,355.89
21917.81,-10031.19,292.00,356.59
22003.42,-10103.20,293.00,357.18
22089.04,-10150.43,294.00,357.56
22174.66,-10161.50,295.00,357.65
22260.27,-10125.02,296.00,357.36
22345.89,-10029.60,297.00,356.58
22431.51,-9863.85,298.00,355.22
22517.12,-9616.37,299.00,353.19
22602.74,-9279.35,300.00,350.44
22688.36,-8859.30,301.00,347.00
22773.97,-8366.26,302.00,342.96
22859.59,-7810.33,303.00,338.41
22945.21,-7201.56,304.00,333.43
23030.82,-6550.03,305.00,328.10
23116.44,-5865.81,306.00,322.50
23202.05,-5158.97,307.00,316.72
23287.67,-4439.57,308.00,310.83
23373.29,-3715.70,309.00,304.91
23458.90,-2987.47,310.00,298.95
23544.52,-2253.01,311.00,292.94
23630.14,-1510.45,312.00,286.86
23715.75,-757.90,313.00,280.70
23801.37,6.50,314.00,274.45
23886.99,784.63,315.00,268.08
23972.60,1578.36,316.00,261.58
24058.22,2387.14,317.00,254.97
24143.84,3200.72,318.00,248.31
24229.45,4006.38,319.00,241.71
24315.07,4791.46,320.00,235.29
24400.68,5543.25,321.00,229.14
24486.30,6249.06,322.00,223.36
24571.92,6896.21,323.00,218.07
24657.53,7472.00,324.00,213.35
24743.15,7963.74,325.00,209.33
24828.77,8362.45,326.00,206.07
24914.38,8673.99,327.00,203.52
25000.00,8907.90,328.00,201.60
25085.62,9073.74,329.00,200.25
25171.23,9181.08,330.00,199.37
25256.85,9239.48,331.00,198.89
25342.47,9258.48,332.00,198.73
25428.08,9247.66,333.00,198.82
25513.70,9216.56,334.00,199.08
25599.32,9173.31,335.00,199.43
25684.93,9120.33,336.00,199.87
25770.55,9058.60,337.00,200.37
25856.16,8989.08,338.00,200.94
25941.78,8912.76,339.00,201.56
26027.40,8830.62,340.00,202.24
26113.01,8743.64,341.00,202.95
26198.63,8652.79,342.00,203.69
26284.25,8559.05,343.00,204.46
26369.86,8463.41,344.00,205.24
26455.48,8366.84,345.00,206.03
26541.10,8270.31,346.00,206.82
26626.71,8174.81,347.00,207.60
26712.33,8081.32,348.00,208.37
26797.95,7990.81,349.00,209.11
26883.56,7904.26,350.00,209.82
26969.18,7822.66,351.00,210.48
27054.79,7746.69,352.00,211.11
27140.41,7675.88,353.00,211.69
27226.03,7609.51,354.00,212.23
27311.64,7546.80,355.00,212.74
27397.26,7487.03,356.00,213.23
27482.88,7429.44,357.00,213.70
27568.49,7373.28,358.00,214.16
27654.11,7317.80,359.00,214.62
27739.73,7262.27,360.00,215.07
27825.34,7205.92,361.00,215.53
27910.96,7148.01,362.00,216.01
27996.58,7087.80,363.00,216.50
28082.19,7024.54,364.00,217.02
28167.81,6957.47,365.00,217.56
28253.42,6885.86,366.00,218.15
28339.04,6808.95,367.00,218.78
28424.66,6725.99,368.00,219.46
28510.27,6636.24,369.00,220.19
28595.89,6539.46,370.00,220.99
28681.51,6437.45,371.00,221.82
28767.12,6332.52,372.00,222.68
28852.74,6226.98,373.00,223.54
28938.36,6123.13,374.00,224.39
29023.97,6023.29,375.00,225.21
29109.59,5929.77,376.00,225.97
29195.21,5844.88,377.00,226.67
29280.82,5770.91,378.00,227.27
29366.44,5712.58,379.00,227.75
29452.05,5684.13,380.00,227.98
29537.67,5702.20,381.00,227.84
29623.29,5783.42,382.00,227.17
29708.90,5944.43,383.00,225.85
29794.52,6201.86,384.00,223.75
29880.14,6572.35,385.00,220.72
29965.75,7072.53,386.00,216.62
30051.37,7711.52,387.00,211.39
30136.99,8468.31,388.00,205.20
30222.60,9314.38,389.00,198.28
30308.22,10221.19,390.00,190.86
30393.84,11160.22,391.00,183.17
30479.45,12102.95,392.00,175.46
30565.07,13020.83,393.00,167.95
30650.68,13885.35,394.00,160.87
30736.30,14667.97,395.00,154.47
30821.92,15346.36,396.00,148.92
30907.53,15922.95,397.00,144.20
30993.15,16406.36,398.00,140.24
31078.77,16805.21,399.00,136.98
31164.38,17128.14,400.00,134.33
31250.00,17383.75,401.00,132.24
31335.62,17580.68,402.00,130.63
31421.23,17727.55,403.00,129.43
31506.85,17832.97,404.00,128.57
31592.47,17904.56,405.00,127.98
31678.08,17945.80,406.00,127.64
31763.70,17959.18,407.00,127.53
31849.32,17947.18,408.00,127.63
31934.93,17912.28,409.00,127.92
32020.55,17856.95,410.00,128.37
32106.16,17783.67,411.00,128.97
32191.78,17694.92,412.00,129.70
32277.40,17593.18,413.00,130.53
32363.01,17480.93,414.00,131.45
32448.63,17360.65,415.00,132.43
32534.25,17234.81,416.00,133.46
32619.86,17105.89,417.00,134.52
32705.48,16976.38,418.00,135.58
32791.10,16848.74,419.00,136.62
32876.71,16725.46,420.00,137.63
32962.33,16609.02,421.00,138.58
33047.95,16501.63,422.00,139.46
33133.56,16404.50,423.00,140.26
33219.18,16318.55,424.00,140.96
33304.79,16244.71,425.00,141.56
33390.41,16183.94,426.00,142.06
33476.03,16137.15,427.00,142.44
33561.64,16105.29,428.00,142.71
33647.26,16089.28,429.00,142.84
33732.88,16090.07,430.00,142.83
33818.49,16109.74,431.00,142.67
33904.11,16154.99,432.00,142.30
33989.73,16233.67,433.00,141.65
34075.34,16353.62,434.00,140.67
34160.96,16522.70,435.00,139.29
34246.58,16743.59,436.00,137.48
34332.19,16998.31,437.00,135.40
34417.81,17263.75,438.00,133.22
34503.42,17516.77,439.00,131.15
34589.04,17738.43,440.00,129.34
34674.66,17926.61,441.00,127.80
34760.27,18083.37,442.00,126.52
34845.89,18210.79,443.00,125.48
34931.51,18310.93,444.00,124.66
35017.12,18385.87,445.00,124.04
35102.74,18437.67,446.00,123.62
35188.36,18468.41,447.00,123.37
35273.97,18480.16,448.00,123.27
35359.59,18474.99,449.00,123.31
35445.21,18454.96,450.00,123.48
35530.82,18422.15,451.00,123.75
35616.44,18378.62,452.00,124.10
35702.05,18326.46,453.00,124.53
35787.67,18267.72,454.00,125.01
35873.29,18204.48,455.00,125.53
35958.90,18138.81,456.00,126.06
36044.52,18072.43,457.00,126.61
36130.14,18005.70,458.00,127.15
36215.75,17938.61,459.00,127.70
36301.37,17871.18,460.00,128.25
36386.99,17803.42,461.00,128.81
36472.60,17735.32,462.00,129.37
36558.22,17666.89,463.00,129.93
36643.84,17598.14,464.00,130.49
36729.45,17529.08,465.00,131.05
36815.07,17459.70,466.00,131.62
36900.68,17390.03,467.00,132.19
36986.30,17320.05,468.00,132.76
37071.92,17249.78,469.00,133.34
37157.53,17179.22,470.00,133.92
37243.15,17108.38,471.00,134.50
37328.77,17037.27,472.00,135.08
37414.38,16965.89,473.00,135.66
37500.00,16894.24,474.00,136.25
37585.62,16822.34,475.00,136.84
37671.23,16750.18,476.00,137.43
37756.85,16677.77,477.00,138.02
37842.47,16605.13,478.00,138.61
37928.08,16532.25,479.00,139.21
38013.70,16459.14,480.00,139.81
38099.32,16385.80,481.00,140.41
38184.93,16312.25,482.00,141.01
38270.55,16238.49,483.00,141.62
38356.16,16164.51,484.00,142.22
38441.78,16090.34,485.00,142.83
38527.40,16015.97,486.00,143.44
38613.01,15941.42,487.00,144.05
38698.63,15866.68,488.00,144.66
38784.25,15791.76,489.00,145.27
38869.86,15716.67,490.00,145.89
38955.48,15641.41,491.00,146.50
39041.10,15565.99,492.00,147.12
39126.71,15490.42,493.00,147.74
39212.33,15414.70,494.00,148.36
39297.95,15338.83,495.00,148.98
39383.56,15262.83,496.00,149.60
39469.18,15186.70,497.00,150.22
39554.79,15110.43,498.00,150.85
39640.41,15034.05,499.00,151.47
39726.03,14957.56,500.00,152.10
39811.64,14880.95,501.00,152.72
39897.26,14804.24,502.00,153.35
39982.88,14727.43,503.00,153.98
40068.49,14650.54,504.00,154.61
40154.11,14573.55,505.00,155.24
40239.73,14496.49,506.00,155.87
40325.34,14419.35,507.00,156.50
