rotation,value,x,y,is_max,is_min
12328.77,239.44,180.00,272.52,False,False
12414.38,244.80,181.00,272.47,False,False
12500.00,-18.97,182.00,274.66,False,False
12585.62,-211.70,183.00,276.25,False,False
12671.23,-349.48,184.00,277.39,False,False
12756.85,-435.63,185.00,278.11,False,False
12842.47,-501.33,186.00,278.65,False,False
12928.08,-583.50,187.00,279.33,False,False
13013.70,-565.21,188.00,279.18,False,False
13099.32,-731.55,189.00,280.56,False,False
13184.93,-838.52,190.00,281.45,False,False
13270.55,-933.82,191.00,282.24,False,False
13356.16,-998.00,192.00,282.77,False,False
13441.78,-1071.53,193.00,283.38,False,False
13527.40,-1143.20,194.00,283.97,False,False
13613.01,-1206.66,195.00,284.50,False,False
13698.63,-1340.68,196.00,285.61,False,False
13784.25,-1316.47,197.00,285.40,False,False
13869.86,-1524.73,198.00,287.13,False,False
13955.48,-1577.60,199.00,287.57,False,False
14041.10,-1636.63,200.00,288.06,False,False
14126.71,-1553.84,201.00,287.37,False,False
14212.33,-1670.02,202.00,288.33,False,False
14297.95,-788.31,203.00,281.03,False,False
14383.56,-143.95,204.00,275.69,False,False
14469.18,879.09,205.00,267.22,False,False
14554.79,1605.27,206.00,261.20,False,False
14640.41,2267.42,207.00,255.72,False,False
14726.03,3117.21,208.00,248.68,False,False
14811.64,3696.58,209.00,243.88,False,False
14897.26,4309.86,210.00,238.80,False,False
14982.88,4726.76,211.00,235.35,False,False
15068.49,5209.75,212.00,231.35,False,False
15154.11,6519.11,213.00,220.50,False,False
15239.73,6475.82,214.00,220.86,False,False
15325.34,7039.22,215.00,216.19,False,False
15410.96,7511.17,216.00,212.28,False,False
15496.58,7978.32,217.00,208.41,False,False
15582.19,8604.61,218.00,203.23,False,False
15667.81,9362.84,219.00,196.94,False,False
15753.42,9261.28,220.00,197.79,False,False
15839.04,9827.70,221.00,193.09,False,False
15924.66,10214.53,222.00,189.89,False,False
16010.27,10780.24,223.00,185.20,False,False
16095.89,12110.16,224.00,174.19,False,False
16181.51,12048.29,225.00,174.70,False,False
16267.12,12805.92,226.00,168.42,False,False
16352.74,13014.18,227.00,166.70,False,False
16438.36,13111.50,228.00,165.89,False,False
16523.97,13056.77,229.00,166.35,False,False
16609.59,13048.73,230.00,166.41,False,False
16695.21,12932.42,231.00,167.38,False,False
16780.82,12796.78,232.00,168.50,False,False
16866.44,12765.85,233.00,168.76,False,False
16952.05,12655.94,234.00,169.67,False,False
17037.67,12574.24,235.00,170.34,False,False
17123.29,12483.49,236.00,171.10,False,False
17208.90,12574.11,237.00,170.34,False,False
17294.52,12266.93,238.00,172.89,False,False
17380.14,12266.53,239.00,172.89,False,False
17465.75,12135.51,240.00,173.98,False,False
17551.37,12046.61,241.00,174.71,False,False
17636.99,11925.16,242.00,175.72,False,False
17722.60,11831.96,243.00,176.49,False,False
17808.22,11710.26,244.00,177.50,False,False
17893.84,11737.09,245.00,177.28,False,False
17979.45,11556.62,246.00,178.77,False,False
18065.07,11462.31,247.00,179.55,False,False
18150.68,11375.56,248.00,180.27,False,False
18236.30,11314.39,249.00,180.78,False,False
18321.92,11214.06,250.00,181.61,False,False
18407.53,11101.20,251.00,182.55,False,False
18493.15,10976.06,252.00,183.58,False,False
18578.77,10851.91,253.00,184.61,False,False
18664.38,10746.88,254.00,185.48,False,False
18750.00,10638.40,255.00,186.38,False,False
18835.62,10514.34,256.00,187.41,False,False
18921.23,10405.96,257.00,188.30,False,False
19006.85,10238.57,258.00,189.69,False,False
19092.47,10283.81,259.00,189.32,False,False
19178.08,10241.55,260.00,189.67,False,False
19263.70,10341.29,261.00,188.84,False,False
19349.32,10567.80,262.00,186.96,False,False
19434.93,10895.17,263.00,184.25,False,False
19520.55,10943.66,264.00,183.85,False,False
19606.16,11605.59,265.00,178.37,False,False
19691.78,11929.76,266.00,175.68,False,False
19777.40,11981.29,267.00,175.25,False,False
19863.01,12083.76,268.00,174.41,False,False
19948.63,12159.38,269.00,173.78,False,False
20034.25,12221.28,270.00,173.27,False,False
20119.86,12232.65,271.00,173.17,False,False
20205.48,12206.18,272.00,173.39,False,False
20291.10,12151.58,273.00,173.84,False,False
20376.71,12055.36,274.00,174.64,False,False
20462.33,11962.54,275.00,175.41,False,False
20547.95,11871.95,276.00,176.16,False,False
20633.56,11812.43,277.00,176.65,False,False
20719.18,11742.05,278.00,177.24,False,False
20804.79,11656.34,279.00,177.95,False,False
20890.41,11564.99,280.00,178.70,False,False
20976.03,11467.44,281.00,179.51,False,False
21061.64,11372.84,282.00,180.29,False,False
21147.26,11261.57,283.00,181.22,False,False
21232.88,11146.31,284.00,182.17,False,False
21318.49,11025.81,285.00,183.17,False,False
21404.11,10919.94,286.00,184.05,False,False
21489.73,10797.53,287.00,185.06,False,False
21575.34,10657.57,288.00,186.22,False,False
21660.96,10496.31,289.00,187.56,False,False
21746.58,10510.56,290.00,187.44,False,False
21832.19,10358.32,291.00,188.70,False,False
21917.81,10262.71,292.00,189.49,False,False
22003.42,10165.25,293.00,190.30,False,False
22089.04,10057.16,294.00,191.19,False,False
22174.66,9975.06,295.00,191.87,False,False
22260.27,9871.46,296.00,192.73,False,False
22345.89,9773.24,297.00,193.54,False,False
22431.51,9623.99,298.00,194.78,False,False
22517.12,9671.36,299.00,194.39,False,False
22602.74,9446.56,300.00,196.25,False,False
22688.36,9230.26,301.00,198.04,False,False
22773.97,9093.91,302.00,199.17,False,False
22859.59,9015.99,303.00,199.82,False,False
22945.21,8961.25,304.00,200.27,False,False
23030.82,8903.42,305.00,200.75,False,False
23116.44,8905.43,306.00,200.73,False,False
23202.05,9064.65,307.00,199.41,False,False
23287.67,9341.25,308.00,197.12,False,False
