rotation,value,x,y,is_max,is_min
0.00,-603.62,36.00,279.50,False,False
85.62,-741.59,37.00,280.64,False,False
171.23,-760.41,38.00,280.80,False,False
256.85,-820.34,39.00,281.30,False,False
342.47,-921.02,40.00,282.13,False,False
428.08,-1073.74,41.00,283.39,False,False
513.70,-1325.02,42.00,285.48,False,False
599.32,-1466.05,43.00,286.64,False,False
684.93,-1558.51,44.00,287.41,False,False
770.55,-1635.44,45.00,288.05,False,False
856.16,-1778.30,46.00,289.23,False,False
941.78,-2007.09,47.00,291.13,False,False
1027.40,-2172.53,48.00,292.50,False,False
1113.01,-2287.95,49.00,293.45,False,False
1198.63,-2373.31,50.00,294.16,False,False
1284.25,-2466.20,51.00,294.93,False,False
1369.86,-2562.93,52.00,295.73,False,False
1455.48,-2680.77,53.00,296.71,False,False
1541.10,-2781.76,54.00,297.54,False,False
1626.71,-2899.24,55.00,298.52,False,False
1712.33,-3012.92,56.00,299.46,False,False
1797.95,-3148.12,57.00,300.58,False,False
1883.56,-3138.83,58.00,300.50,False,False
1969.18,-3294.51,59.00,301.79,False,False
2054.79,-3468.22,60.00,303.23,False,False
2140.41,-3634.56,61.00,304.61,False,False
2226.03,-3744.55,62.00,305.52,False,False
2311.64,-3883.73,63.00,306.67,False,False
2397.26,-3822.94,64.00,306.17,False,False
2482.88,-4003.74,65.00,307.66,False,False
2568.49,-4125.80,66.00,308.68,False,False
2654.11,-4282.34,67.00,309.97,False,False
2739.73,-4379.31,68.00,310.78,False,False
2825.34,-4517.34,69.00,311.92,False,False
2910.96,-4677.45,70.00,313.24,False,False
2996.58,-4828.99,71.00,314.50,False,False
3082.19,-4952.63,72.00,315.52,False,False
3167.81,-5060.24,73.00,316.42,False,False
3253.42,-5168.82,74.00,317.32,False,False
3339.04,-5239.39,75.00,317.90,False,False
3424.66,-5307.07,76.00,318.46,False,False
3510.27,-5375.09,77.00,319.02,False,False
3595.89,-5488.50,78.00,319.96,False,False
3681.51,-5589.87,79.00,320.80,False,False
3767.12,-5805.74,80.00,322.59,False,False
3852.74,-5768.52,81.00,322.28,False,False
3938.36,-5971.27,82.00,323.96,False,False
4023.97,-6096.75,83.00,325.00,False,False
4109.59,-6205.10,84.00,325.90,False,False
4195.21,-6321.46,85.00,326.86,False,False
4280.82,-6487.41,86.00,328.24,False,False
4366.44,-6613.85,87.00,329.28,False,False
4452.05,-6734.33,88.00,330.28,False,False
4537.67,-6815.47,89.00,330.95,False,False
4623.29,-6913.37,90.00,331.77,False,False
4708.90,-7019.65,91.00,332.65,False,False
4794.52,-7135.41,92.00,333.60,False,False
4880.14,-7252.04,93.00,334.57,False,False
4965.75,-7373.31,94.00,335.58,False,False
5051.37,-7482.54,95.00,336.48,False,False
5136.99,-7600.57,96.00,337.46,False,False
5222.60,-7709.89,97.00,338.36,False,False
5308.22,-7808.58,98.00,339.18,False,False
5393.84,-7857.75,99.00,339.59,False,False
5479.45,-7561.53,100.00,337.13,False,False
5565.07,-7887.32,101.00,339.83,False,False
5650.68,-5395.71,102.00,319.19,False,False
5736.30,-4078.85,103.00,308.29,False,False
5821.92,-2394.94,104.00,294.34,False,False
5907.53,-1140.98,105.00,283.95,False,False
5993.15,-235.55,106.00,276.45,False,False
6078.77,606.40,107.00,269.48,False,False
6164.38,1408.18,108.00,262.84,False,False
6250.00,2085.69,109.00,257.22,False,False
6335.62,2735.10,110.00,251.84,False,False
6421.23,3444.67,111.00,247.97,True,False
6506.85,3109.21,112.00,248.75,False,False
6592.47,3041.44,113.00,249.31,False,False
6678.08,2962.07,114.00,249.96,False,False
6763.70,2867.17,115.00,250.75,False,False
6849.32,2762.18,116.00,251.62,False,False
