rotation,value,x,y,is_max,is_min
0.00,-618.71,36.00,279.62,False,False
85.62,-686.22,37.00,280.18,False,False
171.23,-659.96,38.00,279.97,False,False
256.85,-856.91,39.00,281.60,False,False
342.47,-1089.43,40.00,283.52,False,False
428.08,-1271.14,41.00,285.03,False,False
513.70,-1386.96,42.00,285.99,False,False
599.32,-1480.49,43.00,286.76,False,False
684.93,-1560.09,44.00,287.42,False,False
770.55,-1643.63,45.00,288.11,False,False
856.16,-1747.88,46.00,288.98,False,False
941.78,-1836.31,47.00,289.71,False,False
1027.40,-1942.56,48.00,290.59,False,False
1113.01,-1931.59,49.00,290.50,False,False
1198.63,-2051.97,50.00,291.50,False,False
1284.25,-2140.12,51.00,292.23,False,False
1369.86,-2222.12,52.00,292.91,False,False
1455.48,-2337.71,53.00,293.86,False,False
1541.10,-2441.19,54.00,294.72,False,False
1626.71,-2589.54,55.00,295.95,False,False
1712.33,-2526.89,56.00,295.43,False,False
1797.95,-2694.75,57.00,296.82,False,False
1883.56,-2820.54,58.00,297.86,False,False
1969.18,-2914.38,59.00,298.64,False,False
2054.79,-3023.79,60.00,299.55,False,False
2140.41,-3123.56,61.00,300.37,False,False
2226.03,-3268.50,62.00,301.57,False,False
2311.64,-3246.14,63.00,301.39,False,False
2397.26,-3434.44,64.00,302.95,False,False
2482.88,-3508.00,65.00,303.56,False,False
2568.49,-3592.62,66.00,304.26,False,False
2654.11,-3689.12,67.00,305.06,False,False
2739.73,-3826.44,68.00,306.20,False,False
2825.34,-3805.44,69.00,306.02,False,False
2910.96,-4014.53,70.00,307.75,False,False
2996.58,-4250.91,71.00,309.71,False,False
3082.19,-4425.64,72.00,311.16,False,False
3167.81,-4574.97,73.00,312.40,False,False
3253.42,-4670.43,74.00,313.19,False,False
3339.04,-4733.66,75.00,313.71,False,False
3424.66,-4793.99,76.00,314.21,False,False
3510.27,-4866.94,77.00,314.81,False,False
3595.89,-4967.42,78.00,315.65,False,False
3681.51,-5081.25,79.00,316.59,False,False
3767.12,-5195.08,80.00,317.53,False,False
3852.74,-5290.12,81.00,318.32,False,False
3938.36,-5369.06,82.00,318.97,False,False
4023.97,-5330.44,83.00,318.65,False,False
4109.59,-5327.34,84.00,318.63,False,False
4195.21,-5149.24,85.00,317.15,False,False
4280.82,-4788.67,86.00,314.17,False,False
4366.44,-4446.84,87.00,311.33,False,False
4452.05,-4275.06,88.00,309.91,False,False
4537.67,-3950.73,89.00,307.23,False,False
4623.29,-3538.15,90.00,303.81,False,False
4708.90,-3482.60,91.00,303.35,False,False
4794.52,-3288.55,92.00,301.74,False,False
4880.14,-3193.73,93.00,300.95,False,False
4965.75,-3162.27,94.00,300.69,False,False
5051.37,-3185.88,95.00,300.89,False,False
5136.99,-3300.78,96.00,301.84,False,False
5222.60,-3285.43,97.00,301.71,False,False
5308.22,-3357.01,98.00,302.31,False,False
5393.84,-3447.27,99.00,303.05,False,False
5479.45,-3610.73,100.00,304.41,False,False
5565.07,-3756.37,101.00,305.62,False,False
5650.68,-3921.22,102.00,306.98,False,False
5736.30,-3916.83,103.00,306.94,False,False
5821.92,-3963.30,104.00,307.33,False,False
5907.53,-4036.14,105.00,307.93,False,False
5993.15,-4135.58,106.00,308.76,False,False
6078.77,-4350.24,107.00,310.53,False,False
6164.38,-4346.08,108.00,310.50,False,False
6250.00,-4478.13,109.00,311.59,False,False
6335.62,-4598.36,110.00,312.59,False,False
6421.23,-4741.00,111.00,313.77,False,False
6506.85,-4840.12,112.00,314.59,False,False
6592.47,-4925.06,113.00,315.30,False,False
6678.08,-4973.91,114.00,315.70,False,False
6763.70,-5090.54,115.00,316.67,False,False
6849.32,-5023.99,116.00,316.12,False,False
6934.93,-5166.19,117.00,317.29,False,False
7020.55,-5266.02,118.00,318.12,False,False
7106.16,-5431.83,119.00,319.49,False,False
7191.78,-5577.19,120.00,320.70,False,False
7277.40,-5688.47,121.00,321.62,False,False
7363.01,-5779.98,122.00,322.38,False,False
7448.63,-5840.80,123.00,322.88,False,False
7534.25,-5889.84,124.00,323.29,False,False
7619.86,-5920.41,125.00,323.54,False,False
7705.48,-5978.35,126.00,324.02,False,False
7791.10,-6080.11,127.00,324.86,False,False
7876.71,-6231.45,128.00,326.12,False,False
7962.33,-6367.59,129.00,327.24,False,False
8047.95,-6542.58,130.00,328.69,False,False
8133.56,-6717.19,131.00,330.14,False,False
8219.18,-6841.71,132.00,331.17,False,False
8304.79,-6920.78,133.00,331.83,False,False
8390.41,-6997.18,134.00,332.46,False,False
8476.03,-7060.07,135.00,332.98,False,False
