x_pixel,y_value,x_normalized
88,-451,0.0
89,-451,0.0012547051442910915
90,-541,0.002509410288582183
91,-541,0.0037641154328732747
92,-541,0.005018820577164366
94,-722,0.0075282308657465494
95,-722,0.00878293601003764
96,-722,0.010037641154328732
99,-1083,0.013801756587202008
100,-1083,0.015056461731493099
109,-1714,0.026348808030112924
110,-1714,0.027603513174404015
111,-1714,0.028858218318695106
112,-1805,0.030112923462986198
113,-1805,0.03136762860727729
114,-1895,0.03262233375156838
115,-1985,0.033877038895859475
116,-1985,0.03513174404015056
117,-1985,0.03638644918444166
118,-2075,0.037641154328732745
119,-2166,0.03889585947302384
120,-2256,0.04015056461731493
121,-2256,0.04140526976160602
122,-2256,0.04265997490589712
123,-2346,0.043914680050188205
124,-2346,0.0451693851944793
129,-2617,0.05144291091593475
130,-2617,0.05269761606022585
131,-2617,0.053952321204516936
132,-2707,0.05520702634880803
133,-2797,0.056461731493099125
134,-2797,0.05771643663739021
135,-2888,0.05897114178168131
136,-2888,0.060225846925972396
137,-2978,0.06148055207026349
138,-3068,0.06273525721455459
139,-3249,0.06398996235884567
140,-3249,0.06524466750313676
141,-3249,0.06649937264742785
142,-3249,0.06775407779171895
144,-3520,0.07026348808030113
145,-3520,0.07151819322459223
146,-3520,0.07277289836888332
147,-3610,0.0740276035131744
149,-3881,0.07653701380175659
150,-3881,0.07779171894604768
151,-4151,0.07904642409033877
152,-4151,0.08030112923462986
153,-4151,0.08155583437892096
154,-4151,0.08281053952321205
155,-4151,0.08406524466750313
156,-4242,0.08531994981179424
161,-4512,0.09159347553324969
162,-4512,0.09284818067754078
163,-4512,0.09410288582183186
164,-4603,0.09535759096612297
165,-4693,0.09661229611041405
166,-4693,0.09786700125470514
167,-4783,0.09912170639899624
168,-4783,0.10037641154328733
169,-4783,0.10163111668757842
170,-4873,0.1028858218318695
171,-4964,0.10414052697616061
172,-4964,0.1053952321204517
173,-4964,0.10664993726474278
174,-4964,0.10790464240903387
175,-5054,0.10915934755332497
176,-5054,0.11041405269761606
177,-5054,0.11166875784190715
179,-5415,0.11417816813048934
180,-5415,0.11543287327478043
181,-5505,0.11668757841907151
186,-6047,0.12296110414052698
187,-6047,0.12421580928481807
188,-6137,0.12547051442910917
189,-6137,0.12672521957340024
190,-6137,0.12797992471769135
191,-6137,0.12923462986198245
196,-6408,0.1355081555834379
197,-6408,0.13676286072772897
198,-6408,0.13801756587202008
199,-6498,0.13927227101631118
200,-6588,0.14052697616060225
201,-6588,0.14178168130489335
202,-6678,0.14303638644918445
203,-6769,0.14429109159347553
204,-6769,0.14554579673776663
205,-6769,0.1468005018820577
210,-7040,0.15307402760351319
211,-7040,0.15432873274780426
212,-7040,0.15558343789209536
213,-7130,0.15683814303638646
214,-7220,0.15809284818067754
215,-7220,0.15934755332496864
216,-7491,0.1606022584692597
217,-7491,0.1618569636135508
218,-7491,0.16311166875784192
219,-7491,0.164366373902133
220,-7491,0.1656210790464241
221,-7220,0.1668757841907152
222,-7220,0.16813048933500627
223,-7040,0.16938519447929737
224,-6769,0.17063989962358847
225,-6588,0.17189460476787954
226,-6408,0.17314930991217065
227,-6137,0.17440401505646172
228,-6047,0.17565872020075282
229,-5595,0.17691342534504392
230,-5595,0.178168130489335
231,-4783,0.1794228356336261
232,-4422,0.1806775407779172
233,-4422,0.18193224592220827
234,-3429,0.18318695106649938
235,-3339,0.18444165621079048
236,-2978,0.18569636135508155
237,-2707,0.18695106649937265
238,-2527,0.18820577164366373
239,-2346,0.18946047678795483
240,-2346,0.19071518193224593
241,-1895,0.191969887076537
242,-1895,0.1932245922208281
243,-1444,0.1944792973651192
244,-1444,0.19573400250941028
245,-812,0.19698870765370138
246,-631,0.19824341279799249
247,-270,0.19949811794228356
248,-270,0.20075282308657466
250,451,0.20326223337515684
251,631,0.20451693851944794
252,722,0.205771643663739
253,812,0.20702634880803011
254,902,0.20828105395232122
255,902,0.2095357590966123
256,902,0.2107904642409034
257,902,0.2120451693851945
258,812,0.21329987452948557
259,812,0.21455457967377667
260,722,0.21580928481806774
261,722,0.21706398996235884
262,722,0.21831869510664995
263,722,0.21957340025094102
264,722,0.22082810539523212
265,631,0.22208281053952322
266,631,0.2233375156838143
267,541,0.2245922208281054
281,-361,0.24215809284818068
282,-361,0.24341279799247176
283,-451,0.24466750313676286
284,-541,0.24592220828105396
285,-541,0.24717691342534504
287,-722,0.24968632371392724
288,-722,0.25094102885821834
289,-722,0.2521957340025094
290,-722,0.2534504391468005
291,-812,0.2547051442910916
292,-902,0.2559598494353827
293,-902,0.2572145545796738
294,-902,0.2584692597239649
295,-992,0.25972396486825594
296,-992,0.26097867001254704
297,-1083,0.26223337515683814
298,-1083,0.26348808030112925
303,-1534,0.2697616060225847
304,-1714,0.2710163111668758
305,-1714,0.2722710163111669
306,-1805,0.27352572145545795
307,-1805,0.27478042659974905
308,-1805,0.27603513174404015
309,-1805,0.27728983688833125
313,-2256,0.2823086574654956
314,-2166,0.2835633626097867
315,-2166,0.2848180677540778
316,-2256,0.2860727728983689
317,-2256,0.28732747804265996
318,-2346,0.28858218318695106
319,-2346,0.28983688833124216
320,-2346,0.29109159347553326
321,-2527,0.29234629861982436
322,-2527,0.2936010037641154
323,-2617,0.2948557089084065
324,-2617,0.2961104140526976
325,-2617,0.2973651191969887
326,-2617,0.2986198243412798
327,-2617,0.2998745294855709
328,-2617,0.30112923462986196
330,-2888,0.30363864491844417
331,-2888,0.30489335006273527
332,-2888,0.30614805520702637
333,-2888,0.3074027603513174
337,-3429,0.3124215809284818
338,-3429,0.3136762860727729
345,-3881,0.3224592220828105
346,-3881,0.3237139272271016
347,-3971,0.32496863237139273
348,-3971,0.32622333751568383
349,-3971,0.32747804265997493
350,-4061,0.328732747804266
351,-4061,0.3299874529485571
352,-4061,0.3312421580928482
357,-4512,0.33751568381430364
358,-4512,0.33877038895859474
359,-4512,0.34002509410288584
360,-4603,0.34127979924717694
361,-4693,0.342534504391468
362,-4693,0.3437892095357591
363,-4693,0.3450439146800502
364,-4783,0.3462986198243413
365,-4873,0.3475533249686324
366,-4873,0.34880803011292344
367,-4964,0.35006273525721454
368,-4964,0.35131744040150564
369,-4964,0.35257214554579674
370,-4964,0.35382685069008785
371,-5054,0.35508155583437895
372,-5144,0.35633626097867
373,-5144,0.3575909661229611
374,-5054,0.3588456712672522
375,-4873,0.3601003764115433
376,-4693,0.3613550815558344
377,-4422,0.36260978670012545
378,-3881,0.36386449184441655
379,-3700,0.36511919698870765
380,-3339,0.36637390213299875
381,-3339,0.36762860727728985
382,-2797,0.36888331242158096
383,-2527,0.370138017565872
384,-2346,0.3713927227101631
385,-1444,0.3726474278544542
386,-1444,0.3739021329987453
387,-1263,0.3751568381430364
388,-1173,0.37641154328732745
389,-812,0.37766624843161856
390,-722,0.37892095357590966
391,-631,0.38017565872020076
392,-361,0.38143036386449186
393,-270,0.38268506900878296
394,-270,0.383939774153074
395,-270,0.3851944792973651
397,361,0.3877038895859473
398,361,0.3889585947302384
399,361,0.39021329987452946
400,361,0.39146800501882056
401,361,0.39272271016311167
402,361,0.39397741530740277
403,541,0.39523212045169387
404,722,0.39648682559598497
405,1083,0.397741530740276
406,1805,0.3989962358845671
407,1985,0.4002509410288582
408,2075,0.4015056461731493
409,2256,0.4027603513174404
410,2797,0.40401505646173147
411,2978,0.40526976160602257
412,3249,0.4065244667503137
413,3249,0.4077791718946048
414,3249,0.4090338770388959
415,3249,0.410288582183187
416,3339,0.411543287327478
417,3339,0.4127979924717691
418,3429,0.41405269761606023
419,3429,0.41530740276035133
420,3429,0.41656210790464243
421,3429,0.4178168130489335
422,3520,0.4190715181932246
423,3520,0.4203262233375157
424,3429,0.4215809284818068
425,3429,0.4228356336260979
426,3429,0.424090338770389
427,3339,0.42534504391468003
428,3249,0.42659974905897113
429,3249,0.42785445420326224
431,2978,0.43036386449184444
432,2978,0.4316185696361355
433,2888,0.4328732747804266
434,2797,0.4341279799247177
435,2797,0.4353826850690088
436,2797,0.4366373902132999
437,2707,0.437892095357591
438,2707,0.43914680050188204
439,2617,0.44040150564617314
440,2617,0.44165621079046424
441,2527,0.44291091593475534
442,2436,0.44416562107904645
443,2436,0.4454203262233375
444,2436,0.4466750313676286
445,2436,0.4479297365119197
449,2166,0.45294855708908405
450,2166,0.45420326223337515
455,1805,0.4604767879548306
456,1805,0.4617314930991217
457,1714,0.4629861982434128
458,1624,0.4642409033877039
459,1534,0.465495608531995
460,1444,0.46675031367628605
461,1444,0.46800501882057716
462,1444,0.46925972396486826
463,1353,0.47051442910915936
464,1353,0.47176913425345046
466,1173,0.4742785445420326
467,1173,0.4755332496863237
468,1173,0.4767879548306148
469,1083,0.4780426599749059
470,902,0.479297365119197
471,902,0.48055207026348806
472,812,0.48180677540777916
473,812,0.48306148055207027
474,722,0.48431618569636137
475,722,0.48557089084065247
476,631,0.4868255959849435
477,631,0.4880803011292346
478,541,0.4893350062735257
479,541,0.4905897114178168
492,-361,0.506900878293601
493,-361,0.5081555834378921
494,-361,0.5094102885821832
495,-541,0.5106649937264742
496,-541,0.5119196988707654
500,-722,0.5169385194479298
501,-722,0.5181932245922208
502,-812,0.5194479297365119
503,-812,0.520702634880803
504,-812,0.5219573400250941
505,-902,0.5232120451693852
506,-902,0.5244667503136763
507,-1083,0.5257214554579673
508,-1083,0.5269761606022585
509,-1173,0.5282308657465495
510,-1173,0.5294855708908407
511,-1263,0.5307402760351317
512,-1353,0.5319949811794228
513,-1353,0.533249686323714
514,-1353,0.534504391468005
516,-1624,0.5370138017565872
517,-1624,0.5382685069008782
518,-1714,0.5395232120451694
519,-1714,0.5407779171894604
520,-1805,0.5420326223337516
521,-1805,0.5432873274780426
522,-1895,0.5445420326223338
523,-1895,0.5457967377666249
524,-1895,0.5470514429109159
525,-1895,0.548306148055207
526,-1895,0.5495608531994981
527,-1714,0.5508155583437893
528,-1444,0.5520702634880803
529,-992,0.5533249686323714
530,-902,0.5545796737766625
531,-631,0.5558343789209536
532,-631,0.5570890840652447
533,-541,0.5583437892095358
534,-631,0.5595984943538268
535,-631,0.560853199498118
536,-631,0.562107904642409
537,-631,0.5633626097867002
538,-631,0.5646173149309912
539,-722,0.5658720200752823
540,-812,0.5671267252195734
541,-812,0.5683814303638645
542,-812,0.5696361355081556
