x,y,relative_y,value
0,1682,-1422,-170640
1,1682,-1422,-170640
2,1682,-1422,-170640
3,1682,-1422,-170640
4,1682,-1422,-170640
5,1682,-1422,-170640
6,1682,-1422,-170640
7,1682,-1422,-170640
8,1682,-1422,-170640
9,1682,-1422,-170640
10,1682,-1422,-170640
11,1682,-1422,-170640
12,1682,-1422,-170640
13,1682,-1422,-170640
14,1682,-1422,-170640
15,1682,-1422,-170640
16,1682,-1422,-170640
17,1682,-1422,-170640
18,1682,-1422,-170640
19,1682,-1422,-170640
20,1682,-1422,-170640
21,1682,-1422,-170640
22,1682,-1422,-170640
23,1682,-1422,-170640
24,1682,-1422,-170640
25,1682,-1422,-170640
26,1682,-1422,-170640
27,1682,-1422,-170640
28,1682,-1422,-170640
29,1682,-1422,-170640
30,1682,-1422,-170640
31,1682,-1422,-170640
32,1682,-1422,-170640
33,1682,-1422,-170640
34,1682,-1422,-170640
35,1682,-1422,-170640
36,1681,-1421,-170520
37,1681,-1421,-170520
38,1681,-1421,-170520
39,1682,-1422,-170640
40,1682,-1422,-170640
41,1682,-1422,-170640
42,1682,-1422,-170640
43,1682,-1422,-170640
44,1682,-1422,-170640
45,1682,-1422,-170640
46,1682,-1422,-170640
47,1682,-1422,-170640
48,1682,-1422,-170640
49,1682,-1422,-170640
50,1682,-1422,-170640
51,1682,-1422,-170640
52,1682,-1422,-170640
53,1682,-1422,-170640
54,1682,-1422,-170640
55,1682,-1422,-170640
56,1682,-1422,-170640
57,1682,-1422,-170640
58,1682,-1422,-170640
59,1682,-1422,-170640
60,1682,-1422,-170640
61,1682,-1422,-170640
62,1682,-1422,-170640
63,1682,-1422,-170640
64,1682,-1422,-170640
65,1682,-1422,-170640
66,1682,-1422,-170640
67,1682,-1422,-170640
68,1681,-1421,-170520
69,1680,-1420,-170400
70,1679,-1419,-170280
71,1679,-1419,-170280
72,1669,-1409,-169080
73,1669,-1409,-169080
74,1669,-1409,-169080
75,1668,-1408,-168960
76,1668,-1408,-168960
77,1667,-1407,-168840
78,1667,-1407,-168840
79,1666,-1406,-168720
80,1666,-1406,-168720
81,1665,-1405,-168600
82,1665,-1405,-168600
83,1670,-1410,-169200
84,1670,-1410,-169200
85,1669,-1409,-169080
86,1669,-1409,-169080
87,1669,-1409,-169080
88,1669,-1409,-169080
89,1670,-1410,-169200
90,1670,-1410,-169200
91,1665,-1405,-168600
92,1665,-1405,-168600
93,1666,-1406,-168720
94,1666,-1406,-168720
95,1666,-1406,-168720
96,1667,-1407,-168840
97,1667,-1407,-168840
98,1668,-1408,-168960
99,1668,-1408,-168960
100,1669,-1409,-169080
101,1669,-1409,-169080
102,1677,-1417,-170040
103,1678,-1418,-170160
104,1678,-1418,-170160
105,1679,-1419,-170280
106,1682,-1422,-170640
107,1682,-1422,-170640
108,1682,-1422,-170640
109,1682,-1422,-170640
110,1682,-1422,-170640
111,1682,-1422,-170640
112,1682,-1422,-170640
113,1679,-1419,-170280
114,1679,-1419,-170280
115,1679,-1419,-170280
116,1682,-1422,-170640
117,1682,-1422,-170640
118,1682,-1422,-170640
119,1682,-1422,-170640
120,1682,-1422,-170640
121,1682,-1422,-170640
122,1682,-1422,-170640
123,1682,-1422,-170640
124,1682,-1422,-170640
125,1682,-1422,-170640
126,1682,-1422,-170640
127,1681,-1421,-170520
128,1681,-1421,-170520
129,1681,-1421,-170520
130,1682,-1422,-170640
131,1682,-1422,-170640
132,1682,-1422,-170640
133,1680,-1420,-170400
134,1680,-1420,-170400
135,1680,-1420,-170400
136,1682,-1422,-170640
137,1682,-1422,-170640
138,1682,-1422,-170640
139,1682,-1422,-170640
140,1682,-1422,-170640
141,1681,-1421,-170520
142,1681,-1421,-170520
143,1679,-1419,-170280
144,1679,-1419,-170280
145,1679,-1419,-170280
146,1681,-1421,-170520
147,1681,-1421,-170520
148,1682,-1422,-170640
149,1682,-1422,-170640
150,1682,-1422,-170640
151,1673,-1413,-169560
152,1671,-1411,-169320
153,1671,-1411,-169320
154,1671,-1411,-169320
155,1672,-1412,-169440
156,1678,-1418,-170160
157,1678,-1418,-170160
158,1678,-1418,-170160
159,1678,-1418,-170160
160,1679,-1419,-170280
161,1679,-1419,-170280
162,1678,-1418,-170160
163,1676,-1416,-169920
164,1676,-1416,-169920
165,1677,-1417,-170040
166,1678,-1418,-170160
167,1680,-1420,-170400
168,1682,-1422,-170640
169,1682,-1422,-170640
170,1682,-1422,-170640
171,1682,-1422,-170640
172,1678,-1418,-170160
173,1675,-1415,-169800
174,1672,-1412,-169440
175,1672,-1412,-169440
176,1672,-1412,-169440
177,1670,-1410,-169200
178,1670,-1410,-169200
179,1670,-1410,-169200
180,1672,-1412,-169440
181,1672,-1412,-169440
182,1674,-1414,-169680
183,1676,-1416,-169920
184,1674,-1414,-169680
185,1674,-1414,-169680
186,1672,-1412,-169440
187,1671,-1411,-169320
188,1673,-1413,-169560
189,1677,-1417,-170040
190,1679,-1419,-170280
191,1679,-1419,-170280
192,1679,-1419,-170280
193,1671,-1411,-169320
194,1671,-1411,-169320
195,1671,-1411,-169320
196,1679,-1419,-170280
197,1680,-1420,-170400
198,1682,-1422,-170640
199,1682,-1422,-170640
200,1682,-1422,-170640
201,1682,-1422,-170640
202,1680,-1420,-170400
203,1680,-1420,-170400
204,1680,-1420,-170400
205,1680,-1420,-170400
206,1668,-1408,-168960
207,1668,-1408,-168960
208,1668,-1408,-168960
209,1679,-1419,-170280
210,1679,-1419,-170280
211,1679,-1419,-170280
212,1679,-1419,-170280
213,1679,-1419,-170280
214,1672,-1412,-169440
215,1672,-1412,-169440
216,1671,-1411,-169320
217,1677,-1417,-170040
218,1678,-1418,-170160
219,1678,-1418,-170160
220,1678,-1418,-170160
221,1678,-1418,-170160
222,1677,-1417,-170040
223,1671,-1411,-169320
224,1672,-1412,-169440
225,1672,-1412,-169440
226,1679,-1419,-170280
227,1678,-1418,-170160
228,1679,-1419,-170280
229,1679,-1419,-170280
230,1682,-1422,-170640
231,1682,-1422,-170640
232,1682,-1422,-170640
