x,y,relative_y,value
0,1685,-1425,-171000
1,1685,-1425,-171000
2,1685,-1425,-171000
3,1685,-1425,-171000
4,1685,-1425,-171000
5,1685,-1425,-171000
6,1685,-1425,-171000
7,1685,-1425,-171000
8,1685,-1425,-171000
9,1685,-1425,-171000
10,1685,-1425,-171000
11,1685,-1425,-171000
12,1685,-1425,-171000
13,1685,-1425,-171000
14,1685,-1425,-171000
15,1685,-1425,-171000
16,1685,-1425,-171000
17,1685,-1425,-171000
18,1685,-1425,-171000
19,1685,-1425,-171000
20,1685,-1425,-171000
21,1685,-1425,-171000
22,1685,-1425,-171000
23,1685,-1425,-171000
24,1685,-1425,-171000
25,1685,-1425,-171000
26,1685,-1425,-171000
27,1685,-1425,-171000
28,1685,-1425,-171000
29,1685,-1425,-171000
30,1685,-1425,-171000
31,1685,-1425,-171000
32,1685,-1425,-171000
33,1685,-1425,-171000
34,1685,-1425,-171000
35,1685,-1425,-171000
36,1683,-1423,-170760
37,1683,-1423,-170760
38,1683,-1423,-170760
39,1685,-1425,-171000
40,1685,-1425,-171000
41,1685,-1425,-171000
42,1685,-1425,-171000
43,1685,-1425,-171000
44,1685,-1425,-171000
45,1685,-1425,-171000
46,1685,-1425,-171000
47,1685,-1425,-171000
48,1685,-1425,-171000
49,1685,-1425,-171000
50,1685,-1425,-171000
51,1685,-1425,-171000
52,1685,-1425,-171000
53,1685,-1425,-171000
54,1685,-1425,-171000
55,1685,-1425,-171000
56,1685,-1425,-171000
57,1685,-1425,-171000
58,1685,-1425,-171000
59,1685,-1425,-171000
60,1685,-1425,-171000
61,1685,-1425,-171000
62,1685,-1425,-171000
63,1685,-1425,-171000
64,1685,-1425,-171000
65,1685,-1425,-171000
66,1685,-1425,-171000
67,1685,-1425,-171000
68,1684,-1424,-170880
69,1683,-1423,-170760
70,1682,-1422,-170640
71,1682,-1422,-170640
72,1672,-1412,-169440
73,1672,-1412,-169440
74,1672,-1412,-169440
75,1671,-1411,-169320
76,1671,-1411,-169320
77,1670,-1410,-169200
78,1670,-1410,-169200
79,1669,-1409,-169080
80,1669,-1409,-169080
81,1668,-1408,-168960
82,1668,-1408,-168960
83,1673,-1413,-169560
84,1672,-1412,-169440
85,1672,-1412,-169440
86,1672,-1412,-169440
87,1672,-1412,-169440
88,1672,-1412,-169440
89,1672,-1412,-169440
90,1673,-1413,-169560
91,1668,-1408,-168960
92,1668,-1408,-168960
93,1668,-1408,-168960
94,1668,-1408,-168960
95,1669,-1409,-169080
96,1669,-1409,-169080
97,1670,-1410,-169200
98,1670,-1410,-169200
99,1671,-1411,-169320
100,1671,-1411,-169320
101,1672,-1412,-169440
102,1681,-1421,-170520
103,1680,-1420,-170400
104,1681,-1421,-170520
105,1682,-1422,-170640
106,1685,-1425,-171000
107,1685,-1425,-171000
108,1685,-1425,-171000
109,1685,-1425,-171000
110,1685,-1425,-171000
111,1685,-1425,-171000
112,1685,-1425,-171000
113,1682,-1422,-170640
114,1682,-1422,-170640
115,1682,-1422,-170640
116,1685,-1425,-171000
117,1685,-1425,-171000
118,1685,-1425,-171000
119,1685,-1425,-171000
120,1685,-1425,-171000
121,1685,-1425,-171000
122,1685,-1425,-171000
123,1685,-1425,-171000
124,1685,-1425,-171000
125,1685,-1425,-171000
126,1685,-1425,-171000
127,1684,-1424,-170880
128,1684,-1424,-170880
129,1683,-1423,-170760
130,1685,-1425,-171000
131,1685,-1425,-171000
132,1685,-1425,-171000
133,1683,-1423,-170760
134,1683,-1423,-170760
135,1683,-1423,-170760
136,1685,-1425,-171000
137,1685,-1425,-171000
138,1685,-1425,-171000
139,1685,-1425,-171000
140,1685,-1425,-171000
141,1685,-1425,-171000
142,1685,-1425,-171000
143,1685,-1425,-171000
144,1685,-1425,-171000
145,1685,-1425,-171000
146,1685,-1425,-171000
147,1685,-1425,-171000
148,1685,-1425,-171000
149,1685,-1425,-171000
150,1685,-1425,-171000
151,1676,-1416,-169920
152,1674,-1414,-169680
153,1674,-1414,-169680
154,1674,-1414,-169680
155,1676,-1416,-169920
156,1681,-1421,-170520
157,1681,-1421,-170520
158,1681,-1421,-170520
159,1681,-1421,-170520
160,1681,-1421,-170520
161,1682,-1422,-170640
162,1681,-1421,-170520
163,1679,-1419,-170280
164,1679,-1419,-170280
165,1680,-1420,-170400
166,1681,-1421,-170520
167,1682,-1422,-170640
168,1685,-1425,-171000
169,1685,-1425,-171000
170,1685,-1425,-171000
171,1685,-1425,-171000
172,1682,-1422,-170640
173,1682,-1422,-170640
174,1676,-1416,-169920
175,1675,-1415,-169800
176,1675,-1415,-169800
177,1673,-1413,-169560
178,1673,-1413,-169560
179,1673,-1413,-169560
180,1675,-1415,-169800
181,1675,-1415,-169800
182,1677,-1417,-170040
183,1679,-1419,-170280
184,1678,-1418,-170160
185,1678,-1418,-170160
186,1677,-1417,-170040
187,1674,-1414,-169680
188,1676,-1416,-169920
189,1680,-1420,-170400
190,1684,-1424,-170880
191,1682,-1422,-170640
192,1682,-1422,-170640
193,1674,-1414,-169680
194,1674,-1414,-169680
195,1674,-1414,-169680
196,1682,-1422,-170640
197,1683,-1423,-170760
198,1683,-1423,-170760
199,1685,-1425,-171000
200,1685,-1425,-171000
201,1685,-1425,-171000
202,1683,-1423,-170760
203,1683,-1423,-170760
204,1683,-1423,-170760
205,1683,-1423,-170760
206,1671,-1411,-169320
207,1671,-1411,-169320
208,1671,-1411,-169320
209,1682,-1422,-170640
210,1682,-1422,-170640
211,1682,-1422,-170640
212,1682,-1422,-170640
213,1682,-1422,-170640
214,1674,-1414,-169680
215,1674,-1414,-169680
216,1674,-1414,-169680
217,1679,-1419,-170280
218,1680,-1420,-170400
219,1680,-1420,-170400
220,1680,-1420,-170400
221,1680,-1420,-170400
222,1680,-1420,-170400
223,1674,-1414,-169680
224,1674,-1414,-169680
225,1675,-1415,-169800
226,1682,-1422,-170640
227,1681,-1421,-170520
228,1682,-1422,-170640
229,1682,-1422,-170640
230,1685,-1425,-171000
231,1685,-1425,-171000
232,1685,-1425,-171000
233,1685,-1425,-171000
234,1677,-1417,-170040
235,1677,-1417,-170040
236,1674,-1414,-169680
237,1673,-1413,-169560
238,1672,-1412,-169440
239,1672,-1412,-169440
240,1673,-1413,-169560
