x,y,relative_y,value
354,183,77,9240
355,184,76,9120
356,184,76,9120
357,184,76,9120
358,184,76,9120
359,184,76,9120
360,185,75,9000
361,187,73,8760
362,187,73,8760
363,187,73,8760
364,188,72,8640
365,189,71,8520
366,191,69,8280
367,191,69,8280
368,189,71,8520
369,191,69,8280
370,190,70,8400
371,190,70,8400
372,190,70,8400
373,190,70,8400
374,190,70,8400
375,190,70,8400
376,190,70,8400
377,191,69,8280
378,192,68,8160
379,193,67,8040
380,192,68,8160
381,192,68,8160
382,191,69,8280
383,188,72,8640
384,187,73,8760
385,187,73,8760
386,187,73,8760
387,187,73,8760
388,188,72,8640
389,189,71,8520
390,190,70,8400
391,191,69,8280
392,190,70,8400
393,190,70,8400
394,193,67,8040
395,193,67,8040
396,192,68,8160
397,190,70,8400
398,188,72,8640
399,188,72,8640
400,188,72,8640
401,194,66,7920
402,195,65,7800
403,197,63,7560
404,196,64,7680
405,194,66,7920
406,193,67,8040
407,190,70,8400
408,190,70,8400
409,192,68,8160
410,193,67,8040
411,193,67,8040
412,194,66,7920
413,192,68,8160
414,191,69,8280
415,190,70,8400
416,189,71,8520
417,189,71,8520
418,189,71,8520
419,189,71,8520
420,189,71,8520
421,189,71,8520
422,189,71,8520
423,189,71,8520
424,196,64,7680
425,196,64,7680
426,196,64,7680
427,195,65,7800
428,191,69,8280
429,191,69,8280
430,191,69,8280
431,191,69,8280
432,186,74,8880
433,186,74,8880
434,186,74,8880
435,186,74,8880
436,190,70,8400
437,191,69,8280
438,197,63,7560
439,196,64,7680
440,195,65,7800
441,192,68,8160
442,186,74,8880
443,187,73,8760
444,188,72,8640
445,188,72,8640
446,188,72,8640
447,188,72,8640
448,188,72,8640
449,188,72,8640
450,188,72,8640
451,190,70,8400
452,192,68,8160
453,192,68,8160
454,192,68,8160
455,192,68,8160
456,192,68,8160
457,192,68,8160
458,192,68,8160
459,190,70,8400
460,190,70,8400
461,190,70,8400
462,191,69,8280
463,190,70,8400
464,190,70,8400
465,190,70,8400
466,198,62,7440
467,198,62,7440
468,197,63,7560
469,197,63,7560
470,186,74,8880
471,187,73,8760
472,190,70,8400
473,190,70,8400
474,190,70,8400
475,189,71,8520
476,187,73,8760
477,186,74,8880
478,185,75,9000
479,185,75,9000
480,184,76,9120
481,184,76,9120
482,183,77,9240
483,183,77,9240
484,185,75,9000
485,190,70,8400
486,191,69,8280
487,192,68,8160
488,192,68,8160
489,192,68,8160
490,188,72,8640
491,187,73,8760
492,186,74,8880
493,186,74,8880
494,186,74,8880
495,186,74,8880
496,188,72,8640
497,192,68,8160
498,192,68,8160
499,192,68,8160
500,192,68,8160
501,192,68,8160
502,187,73,8760
503,186,74,8880
504,186,74,8880
505,185,75,9000
506,183,77,9240
507,184,76,9120
508,184,76,9120
509,184,76,9120
510,184,76,9120
511,184,76,9120
512,184,76,9120
513,183,77,9240
514,183,77,9240
515,183,77,9240
516,183,77,9240
517,183,77,9240
518,183,77,9240
519,183,77,9240
520,185,75,9000
521,185,75,9000
522,185,75,9000
523,185,75,9000
524,196,64,7680
525,196,64,7680
526,196,64,7680
527,196,64,7680
528,183,77,9240
529,183,77,9240
530,183,77,9240
531,183,77,9240
532,183,77,9240
533,183,77,9240
534,183,77,9240
535,183,77,9240
536,183,77,9240
537,183,77,9240
538,183,77,9240
539,183,77,9240
540,183,77,9240
541,183,77,9240
542,183,77,9240
543,183,77,9240
544,185,75,9000
545,185,75,9000
546,185,75,9000
547,185,75,9000
548,183,77,9240
549,183,77,9240
550,183,77,9240
551,183,77,9240
552,183,77,9240
553,183,77,9240
554,185,75,9000
555,185,75,9000
556,185,75,9000
557,185,75,9000
558,183,77,9240
559,183,77,9240
560,183,77,9240
561,183,77,9240
562,183,77,9240
563,183,77,9240
564,183,77,9240
565,185,75,9000
566,185,75,9000
567,185,75,9000
568,185,75,9000
569,183,77,9240
570,183,77,9240
571,183,77,9240
572,183,77,9240
573,183,77,9240
574,183,77,9240
575,183,77,9240
576,183,77,9240
577,183,77,9240
578,183,77,9240
579,183,77,9240
580,183,77,9240
581,183,77,9240
582,183,77,9240
583,183,77,9240
584,183,77,9240
585,183,77,9240
586,183,77,9240
587,183,77,9240
588,183,77,9240
589,183,77,9240
590,183,77,9240
591,183,77,9240
592,183,77,9240
593,183,77,9240
594,183,77,9240
595,183,77,9240
596,183,77,9240
597,183,77,9240
598,183,77,9240
599,183,77,9240
600,183,77,9240
601,183,77,9240
602,183,77,9240
603,183,77,9240
604,183,77,9240
605,183,77,9240
606,183,77,9240
607,183,77,9240
608,183,77,9240
609,183,77,9240
610,183,77,9240
611,183,77,9240
612,183,77,9240
613,183,77,9240
614,183,77,9240
615,183,77,9240
616,183,77,9240
617,183,77,9240
618,183,77,9240
619,183,77,9240
620,183,77,9240
621,183,77,9240
622,183,77,9240
623,183,77,9240
624,183,77,9240
625,183,77,9240
626,183,77,9240
627,183,77,9240
628,183,77,9240
629,183,77,9240
630,183,77,9240
631,183,77,9240
632,183,77,9240
633,183,77,9240
634,183,77,9240
635,183,77,9240
636,183,77,9240
637,183,77,9240
638,183,77,9240
639,183,77,9240
640,183,77,9240
641,183,77,9240
642,183,77,9240
643,183,77,9240
644,183,77,9240
645,183,77,9240
646,183,77,9240
647,183,77,9240
648,183,77,9240
649,183,77,9240
650,183,77,9240
