x,y,relative_y,value
103,637,-377,-45240
104,638,-378,-45360
105,638,-378,-45360
106,638,-378,-45360
107,637,-377,-45240
108,638,-378,-45360
109,638,-378,-45360
110,638,-378,-45360
111,638,-378,-45360
112,638,-378,-45360
113,638,-378,-45360
114,638,-378,-45360
115,638,-378,-45360
116,638,-378,-45360
117,638,-378,-45360
118,638,-378,-45360
119,638,-378,-45360
120,638,-378,-45360
121,638,-378,-45360
122,638,-378,-45360
123,638,-378,-45360
124,638,-378,-45360
125,638,-378,-45360
126,638,-378,-45360
127,638,-378,-45360
128,638,-378,-45360
129,638,-378,-45360
130,638,-378,-45360
131,638,-378,-45360
132,638,-378,-45360
133,638,-378,-45360
134,638,-378,-45360
135,638,-378,-45360
136,638,-378,-45360
137,638,-378,-45360
138,638,-378,-45360
139,638,-378,-45360
140,638,-378,-45360
141,638,-378,-45360
142,638,-378,-45360
143,638,-378,-45360
144,638,-378,-45360
145,638,-378,-45360
146,638,-378,-45360
147,638,-378,-45360
148,638,-378,-45360
149,638,-378,-45360
150,642,-382,-45840
151,643,-383,-45960
152,644,-384,-46080
153,642,-382,-45840
154,642,-382,-45840
155,641,-381,-45720
156,641,-381,-45720
157,641,-381,-45720
158,641,-381,-45720
159,640,-380,-45600
160,640,-380,-45600
161,640,-380,-45600
162,640,-380,-45600
163,640,-380,-45600
164,640,-380,-45600
165,640,-380,-45600
166,640,-380,-45600
167,640,-380,-45600
168,640,-380,-45600
169,640,-380,-45600
170,640,-380,-45600
171,640,-380,-45600
172,640,-380,-45600
173,640,-380,-45600
174,640,-380,-45600
175,640,-380,-45600
176,640,-380,-45600
177,640,-380,-45600
178,640,-380,-45600
179,640,-380,-45600
180,640,-380,-45600
181,640,-380,-45600
182,640,-380,-45600
183,640,-380,-45600
184,640,-380,-45600
185,640,-380,-45600
186,640,-380,-45600
187,640,-380,-45600
188,640,-380,-45600
189,640,-380,-45600
190,640,-380,-45600
191,640,-380,-45600
192,640,-380,-45600
193,640,-380,-45600
194,640,-380,-45600
195,640,-380,-45600
196,640,-380,-45600
197,640,-380,-45600
198,640,-380,-45600
199,640,-380,-45600
200,640,-380,-45600
201,640,-380,-45600
202,640,-380,-45600
203,640,-380,-45600
204,640,-380,-45600
205,640,-380,-45600
206,640,-380,-45600
207,640,-380,-45600
208,640,-380,-45600
209,640,-380,-45600
210,640,-380,-45600
211,640,-380,-45600
212,640,-380,-45600
213,640,-380,-45600
214,640,-380,-45600
215,640,-380,-45600
216,640,-380,-45600
217,640,-380,-45600
218,640,-380,-45600
219,640,-380,-45600
220,640,-380,-45600
221,640,-380,-45600
222,640,-380,-45600
223,640,-380,-45600
224,640,-380,-45600
225,640,-380,-45600
226,640,-380,-45600
227,640,-380,-45600
228,640,-380,-45600
229,640,-380,-45600
230,640,-380,-45600
231,640,-380,-45600
232,640,-380,-45600
233,640,-380,-45600
234,640,-380,-45600
235,640,-380,-45600
236,640,-380,-45600
237,640,-380,-45600
238,640,-380,-45600
239,640,-380,-45600
240,640,-380,-45600
241,640,-380,-45600
242,640,-380,-45600
243,640,-380,-45600
244,640,-380,-45600
245,640,-380,-45600
246,640,-380,-45600
247,640,-380,-45600
248,640,-380,-45600
249,640,-380,-45600
250,640,-380,-45600
251,640,-380,-45600
252,640,-380,-45600
253,640,-380,-45600
254,640,-380,-45600
255,640,-380,-45600
256,640,-380,-45600
257,640,-380,-45600
258,640,-380,-45600
259,640,-380,-45600
260,640,-380,-45600
261,640,-380,-45600
262,640,-380,-45600
263,640,-380,-45600
264,640,-380,-45600
265,640,-380,-45600
266,640,-380,-45600
267,640,-380,-45600
268,640,-380,-45600
269,640,-380,-45600
270,643,-383,-45960
271,644,-384,-46080
272,644,-384,-46080
273,644,-384,-46080
274,644,-384,-46080
275,644,-384,-46080
276,643,-383,-45960
277,643,-383,-45960
278,643,-383,-45960
279,643,-383,-45960
280,642,-382,-45840
281,642,-382,-45840
282,643,-383,-45960
283,643,-383,-45960
284,643,-383,-45960
285,643,-383,-45960
286,643,-383,-45960
287,643,-383,-45960
288,643,-383,-45960
289,643,-383,-45960
290,643,-383,-45960
291,643,-383,-45960
292,643,-383,-45960
293,643,-383,-45960
294,644,-384,-46080
295,645,-385,-46200
296,645,-385,-46200
297,645,-385,-46200
298,644,-384,-46080
299,644,-384,-46080
300,644,-384,-46080
301,644,-384,-46080
302,644,-384,-46080
303,642,-382,-45840
304,640,-380,-45600
305,640,-380,-45600
306,640,-380,-45600
307,640,-380,-45600
308,641,-381,-45720
309,642,-382,-45840
310,650,-390,-46800
311,650,-390,-46800
312,650,-390,-46800
313,640,-380,-45600
314,640,-380,-45600
315,640,-380,-45600
316,640,-380,-45600
317,640,-380,-45600
318,640,-380,-45600
319,640,-380,-45600
320,646,-386,-46320
321,646,-386,-46320
322,646,-386,-46320
323,640,-380,-45600
324,640,-380,-45600
325,640,-380,-45600
326,640,-380,-45600
327,640,-380,-45600
328,640,-380,-45600
329,640,-380,-45600
330,640,-380,-45600
331,642,-382,-45840
332,642,-382,-45840
333,642,-382,-45840
334,640,-380,-45600
335,640,-380,-45600
336,640,-380,-45600
337,640,-380,-45600
338,642,-382,-45840
339,644,-384,-46080
340,644,-384,-46080
341,643,-383,-45960
342,640,-380,-45600
343,640,-380,-45600
344,640,-380,-45600
345,641,-381,-45720
346,641,-381,-45720
347,641,-381,-45720
348,638,-378,-45360
349,636,-376,-45120
350,636,-376,-45120
351,637,-377,-45240
352,640,-380,-45600
353,640,-380,-45600
354,640,-380,-45600
355,640,-380,-45600
356,640,-380,-45600
357,640,-380,-45600
358,640,-380,-45600
359,635,-375,-45000
360,635,-375,-45000
361,635,-375,-45000
362,641,-381,-45720
363,640,-380,-45600
364,641,-381,-45720
365,641,-381,-45720
366,641,-381,-45720
367,639,-379,-45480
368,639,-379,-45480
369,639,-379,-45480
370,641,-381,-45720
371,641,-381,-45720
372,641,-381,-45720
373,640,-380,-45600
374,641,-381,-45720
375,642,-382,-45840
376,642,-382,-45840
377,642,-382,-45840
378,640,-380,-45600
379,640,-380,-45600
380,640,-380,-45600
381,640,-380,-45600
382,640,-380,-45600
383,640,-380,-45600
384,640,-380,-45600
385,640,-380,-45600
386,640,-380,-45600
387,640,-380,-45600
388,640,-380,-45600
389,640,-380,-45600
390,640,-380,-45600
391,641,-381,-45720
392,641,-381,-45720
393,641,-381,-45720
394,641,-381,-45720
395,640,-380,-45600
396,640,-380,-45600
397,640,-380,-45600
398,640,-380,-45600
399,640,-380,-45600
400,640,-380,-45600
401,640,-380,-45600
402,640,-380,-45600
403,640,-380,-45600
404,640,-380,-45600
405,640,-380,-45600
406,641,-381,-45720
407,641,-381,-45720
408,641,-381,-45720
409,641,-381,-45720
410,640,-380,-45600
411,640,-380,-45600
412,640,-380,-45600
413,640,-380,-45600
414,640,-380,-45600
415,640,-380,-45600
416,640,-380,-45600
417,640,-380,-45600
418,640,-380,-45600
419,640,-380,-45600
420,640,-380,-45600
421,640,-380,-45600
422,640,-380,-45600
423,640,-380,-45600
424,640,-380,-45600
425,640,-380,-45600
426,640,-380,-45600
427,640,-380,-45600
428,640,-380,-45600
429,640,-380,-45600
430,640,-380,-45600
431,640,-380,-45600
432,640,-380,-45600
433,640,-380,-45600
434,640,-380,-45600
435,640,-380,-45600
436,640,-380,-45600
437,640,-380,-45600
438,640,-380,-45600
439,640,-380,-45600
440,640,-380,-45600
441,640,-380,-45600
442,640,-380,-45600
443,640,-380,-45600
444,640,-380,-45600
445,640,-380,-45600
446,640,-380,-45600
447,640,-380,-45600
448,640,-380,-45600
449,640,-380,-45600
450,640,-380,-45600
451,640,-380,-45600
452,640,-380,-45600
453,640,-380,-45600
454,640,-380,-45600
455,640,-380,-45600
456,640,-380,-45600
457,640,-380,-45600
458,640,-380,-45600
