rotation,value,x,y
0.00,-855.40,36.00,281.50
85.62,-884.85,37.00,281.74
171.23,-912.10,38.00,281.96
256.85,-621.31,39.00,279.58
342.47,-738.79,40.00,280.55
428.08,-854.17,41.00,281.49
513.70,-915.35,42.00,281.99
599.32,-1033.52,43.00,282.96
684.93,-1154.94,44.00,283.95
770.55,-1166.63,45.00,284.05
856.16,-1281.35,46.00,284.99
941.78,-1344.25,47.00,285.50
1027.40,-1407.55,48.00,286.02
1113.01,-1469.29,49.00,286.52
1198.63,-1578.74,50.00,287.42
1284.25,-1594.60,51.00,287.55
1369.86,-1703.23,52.00,288.44
1455.48,-1724.77,53.00,288.61
1541.10,-1830.58,54.00,289.48
1626.71,-1895.27,55.00,290.01
1712.33,-2002.21,56.00,290.88
1797.95,-2030.12,57.00,291.11
1883.56,-2134.65,58.00,291.97
1969.18,-2194.77,59.00,292.46
2054.79,-2256.11,60.00,292.96
2140.41,-2320.52,61.00,293.49
2226.03,-2392.60,62.00,294.08
2311.64,-2465.18,63.00,294.67
2397.26,-2565.51,64.00,295.49
2482.88,-2662.21,65.00,296.29
2568.49,-2733.45,66.00,296.87
2654.11,-2802.84,67.00,297.44
2739.73,-2853.41,68.00,297.85
2825.34,-2947.51,69.00,298.62
2910.96,-3036.17,70.00,299.35
2996.58,-3132.93,71.00,300.14
3082.19,-3226.29,72.00,300.90
3167.81,-3255.89,73.00,301.14
3253.42,-3270.69,74.00,301.27
3339.04,-3268.16,75.00,301.24
3424.66,-3154.96,76.00,300.32
3510.27,-3137.51,77.00,300.18
3595.89,-3125.42,78.00,300.08
3681.51,-3105.25,79.00,299.91
3767.12,-3123.83,80.00,300.06
3852.74,-3049.96,81.00,299.46
3938.36,-2852.46,82.00,297.84
4023.97,-2536.28,83.00,295.26
4109.59,-2111.38,84.00,291.78
4195.21,-1583.25,85.00,287.46
4280.82,-1057.56,86.00,283.15
4366.44,-519.55,87.00,278.75
4452.05,-79.08,88.00,275.15
4537.67,226.11,89.00,272.65
4623.29,360.70,90.00,271.55
4708.90,441.74,91.00,270.89
4794.52,474.70,92.00,270.62
4880.14,464.73,93.00,270.70
4965.75,434.39,94.00,270.95
5051.37,411.46,95.00,271.13
5136.99,415.59,96.00,271.10
5222.60,450.06,97.00,270.82
5308.22,434.11,98.00,270.95
5393.84,384.69,99.00,271.35
5479.45,341.96,100.00,271.70
5565.07,286.41,101.00,272.16
5650.68,198.11,102.00,272.88
5736.30,72.49,103.00,273.91
5821.92,-48.71,104.00,274.90
6078.77,-166.35,107.00,275.86
6164.38,-271.03,108.00,276.72
6250.00,-357.06,109.00,277.42
6335.62,-430.26,110.00,278.02
6421.23,-491.36,111.00,278.52
6506.85,-515.15,112.00,278.72
6592.47,-582.37,113.00,279.27
6678.08,-672.38,114.00,280.00
6763.70,-787.46,115.00,280.94
