x,y_pixel,y_value
125,396,5146.443514644351
126,396,5146.443514644351
127,396,5146.443514644351
128,396,5146.443514644351
129,396,5146.443514644351
130,394,5271.966527196652
131,394,5271.966527196652
132,394,5271.966527196652
195,438,2510.460251046025
196,438,2510.460251046025
197,438,2510.460251046025
210,394,5271.966527196652
211,394,5271.966527196652
212,394,5271.966527196652
213,394,5271.966527196652
214,394,5271.966527196652
223,394,5271.966527196652
224,394,5271.966527196652
225,395,5209.205020920502
226,396,5146.443514644351
227,396,5146.443514644351
228,396,5146.443514644351
229,396,5146.443514644351
230,396,5146.443514644351
231,396,5146.443514644351
232,396,5146.443514644351
264,423,3451.8828451882846
265,423,3451.8828451882846
266,423,3451.8828451882846
367,479,-94.04388714733543
368,480,-188.08777429467085
369,480,-188.08777429467085
370,480,-188.08777429467085
377,449,1820.0836820083682
378,449,1820.0836820083682
379,449,1820.0836820083682
380,449,1820.0836820083682
381,449,1820.0836820083682
382,449,1820.0836820083682
383,447,1945.6066945606694
404,450,1757.3221757322176
405,450,1757.3221757322176
406,450,1757.3221757322176
408,405,4581.589958158996
409,405,4581.589958158996
410,405,4581.589958158996
411,405,4581.589958158996
412,405,4581.589958158996
413,405,4581.589958158996
414,405,4581.589958158996
417,394,5271.966527196652
418,394,5271.966527196652
419,394,5271.966527196652
421,390,5523.012552301255
422,390,5523.012552301255
423,390,5523.012552301255
433,395,5209.205020920502
434,395,5209.205020920502
435,395,5209.205020920502
440,396,5146.443514644351
441,396,5146.443514644351
442,396,5146.443514644351
488,436,2635.983263598326
489,436,2635.983263598326
490,436,2635.983263598326
498,397,5083.6820083682005
499,397,5083.6820083682005
500,397,5083.6820083682005
